R_Fighter,R_KD,R_Sub. att,R_Rev.,R_Ctrl,B_Fighter,B_KD,B_Sub. att,B_Rev.,B_Ctrl,Winner,Division,Title_Bout,Event,Method,Round,Time,Date,Location,R_Sig. str._Landed,R_Sig. str._Attempted,R_Total str._Landed,R_Total str._Attempted,R_Td_Landed,R_Td_Attempted,R_Head_Landed,R_Head_Attempted,R_Body_Landed,R_Body_Attempted,R_Leg_Landed,R_Leg_Attempted,R_Distance_Landed,R_Distance_Attempted,R_Clinch_Landed,R_Clinch_Attempted,R_Ground_Landed,R_Ground_Attempted,B_Sig. str._Landed,B_Sig. str._Attempted,B_Total str._Landed,B_Total str._Attempted,B_Td_Landed,B_Td_Attempted,B_Head_Landed,B_Head_Attempted,B_Body_Landed,B_Body_Attempted,B_Leg_Landed,B_Leg_Attempted,B_Distance_Landed,B_Distance_Attempted,B_Clinch_Landed,B_Clinch_Attempted,B_Ground_Landed,B_Ground_Attempted
Brian Ortega,0,0,0,2.4,Yair Rodriguez,0,0,0,0.0,Blue,Featherweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,1,4:11,2022-07-16,"Elmont, New York, USA",22.0,35.0,26.0,39.0,1.0,5.0,18.0,30.0,3.0,3.0,1.0,2.0,15.0,27.0,7.0,8.0,0.0,0.0,23.0,46.0,48.0,76.0,0.0,0.0,18.0,41.0,0.0,0.0,5.0,5.0,21.0,44.0,1.0,1.0,1.0,1.0
Michelle Waterson-Gomez,0,0,0,1.13,Amanda Lemos,0,1,1,0.08,Blue,Women's Strawweight,0,UFC Fight Night: Ortega vs. Rodriguez,Submission,2,1:48,2022-07-16,"Elmont, New York, USA",29.0,56.0,35.0,62.0,1.0,2.0,7.0,24.0,7.0,10.0,15.0,22.0,27.0,54.0,0.0,0.0,2.0,2.0,20.0,35.0,20.0,35.0,0.0,0.0,11.0,23.0,3.0,5.0,6.0,7.0,20.0,35.0,0.0,0.0,0.0,0.0
Li Jingliang,1,0,0,0.5,Muslim Salikhov,0,0,0,1.17,Red,Welterweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,2,4:38,2022-07-16,"Elmont, New York, USA",38.0,87.0,40.0,91.0,1.0,2.0,13.0,49.0,12.0,18.0,13.0,20.0,30.0,75.0,6.0,8.0,2.0,4.0,23.0,56.0,33.0,67.0,1.0,4.0,18.0,48.0,3.0,6.0,2.0,2.0,20.0,51.0,0.0,1.0,3.0,4.0
Matt Schnell,0,2,1,2.67,Sumudaerji,1,0,2,2.22,Red,Flyweight,0,UFC Fight Night: Ortega vs. Rodriguez,Submission,2,4:24,2022-07-16,"Elmont, New York, USA",47.0,81.0,79.0,120.0,2.0,3.0,36.0,70.0,5.0,5.0,6.0,6.0,16.0,40.0,9.0,12.0,22.0,29.0,58.0,83.0,67.0,92.0,0.0,0.0,37.0,61.0,10.0,11.0,11.0,11.0,35.0,53.0,13.0,19.0,10.0,11.0
Shane Burgos,0,3,0,6.42,Charles Jourdain,0,0,0,2.13,Red,Featherweight,0,UFC Fight Night: Ortega vs. Rodriguez,Decision - Majority,3,5:00,2022-07-16,"Elmont, New York, USA",42.0,80.0,67.0,116.0,2.0,7.0,16.0,47.0,6.0,12.0,20.0,21.0,28.0,61.0,13.0,18.0,1.0,1.0,113.0,188.0,161.0,241.0,0.0,1.0,72.0,145.0,36.0,37.0,5.0,6.0,68.0,133.0,41.0,51.0,4.0,4.0
Lauren Murphy,0,0,0,1.3,Miesha Tate,0,0,0,2.08,Red,Women's Flyweight,0,UFC Fight Night: Ortega vs. Rodriguez,Decision - Unanimous,3,5:00,2022-07-16,"Elmont, New York, USA",102.0,184.0,128.0,211.0,2.0,6.0,77.0,154.0,24.0,29.0,1.0,1.0,68.0,142.0,31.0,39.0,3.0,3.0,85.0,164.0,121.0,201.0,0.0,7.0,61.0,122.0,18.0,34.0,6.0,8.0,67.0,138.0,18.0,26.0,0.0,0.0
Punahele Soriano,1,0,0,0.07,Dalcha Lungiambula,0,0,0,1.65,Red,Middleweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,2,0:28,2022-07-16,"Elmont, New York, USA",17.0,35.0,19.0,37.0,0.0,1.0,8.0,25.0,9.0,10.0,0.0,0.0,9.0,26.0,4.0,5.0,4.0,4.0,11.0,22.0,17.0,28.0,2.0,2.0,6.0,16.0,2.0,3.0,3.0,3.0,9.0,18.0,0.0,2.0,2.0,2.0
Ricky Simon,1,1,0,4.1,Jack Shore,0,0,0,0.22,Red,Bantamweight,0,UFC Fight Night: Ortega vs. Rodriguez,Submission,2,3:28,2022-07-16,"Elmont, New York, USA",25.0,38.0,46.0,59.0,2.0,8.0,13.0,25.0,2.0,2.0,10.0,11.0,18.0,30.0,4.0,4.0,3.0,4.0,19.0,44.0,27.0,52.0,0.0,3.0,15.0,40.0,4.0,4.0,0.0,0.0,17.0,42.0,2.0,2.0,0.0,0.0
Bill Algeo,0,0,0,5.43,Herbert Burns,0,2,0,0.53,Red,Featherweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,2,1:50,2022-07-16,"Elmont, New York, USA",28.0,36.0,81.0,104.0,1.0,1.0,21.0,28.0,6.0,7.0,1.0,1.0,2.0,4.0,2.0,2.0,24.0,30.0,10.0,12.0,18.0,25.0,1.0,2.0,6.0,8.0,4.0,4.0,0.0,0.0,1.0,1.0,3.0,3.0,6.0,8.0
Dustin Jacoby,1,0,0,0.0,Da-Un Jung,0,0,0,0.0,Red,Light Heavyweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,1,3:13,2022-07-16,"Elmont, New York, USA",14.0,23.0,14.0,23.0,0.0,0.0,6.0,14.0,1.0,2.0,7.0,7.0,14.0,23.0,0.0,0.0,0.0,0.0,14.0,39.0,14.0,39.0,0.0,0.0,6.0,26.0,1.0,4.0,7.0,9.0,14.0,39.0,0.0,0.0,0.0,0.0
Dwight Grant,0,0,0,0.0,Dustin Stoltzfus,0,0,0,4.28,Blue,Middleweight,0,UFC Fight Night: Ortega vs. Rodriguez,Decision - Unanimous,3,5:00,2022-07-16,"Elmont, New York, USA",52.0,100.0,54.0,102.0,0.0,0.0,35.0,79.0,7.0,9.0,10.0,12.0,50.0,97.0,2.0,3.0,0.0,0.0,49.0,112.0,102.0,173.0,2.0,5.0,23.0,81.0,7.0,8.0,19.0,23.0,35.0,88.0,3.0,4.0,11.0,20.0
Jessica Penne,0,0,0,0.0,Emily Ducote,0,0,0,0.0,Blue,Women's Strawweight,0,UFC Fight Night: Ortega vs. Rodriguez,Decision - Unanimous,3,5:00,2022-07-16,"Elmont, New York, USA",63.0,244.0,68.0,249.0,0.0,8.0,37.0,208.0,26.0,36.0,0.0,0.0,55.0,234.0,8.0,10.0,0.0,0.0,116.0,205.0,117.0,206.0,0.0,0.0,41.0,113.0,24.0,34.0,51.0,58.0,115.0,203.0,1.0,2.0,0.0,0.0
Rafael Dos Anjos,0,0,0,6.22,Rafael Fiziev,1,0,0,2.98,Blue,Lightweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,5,0:18,2022-07-09,"Las Vegas, Nevada, USA",54.0,110.0,90.0,162.0,2.0,16.0,31.0,80.0,12.0,14.0,11.0,16.0,50.0,106.0,4.0,4.0,0.0,0.0,64.0,159.0,92.0,192.0,0.0,1.0,32.0,102.0,27.0,52.0,5.0,5.0,62.0,155.0,1.0,2.0,1.0,2.0
Caio Borralho,0,0,0,10.15,Armen Petrosyan,0,0,1,1.32,Red,Middleweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,Decision - Unanimous,3,5:00,2022-07-09,"Las Vegas, Nevada, USA",12.0,25.0,49.0,83.0,4.0,5.0,4.0,15.0,6.0,8.0,2.0,2.0,11.0,23.0,1.0,2.0,0.0,0.0,31.0,61.0,72.0,132.0,0.0,0.0,2.0,19.0,3.0,9.0,26.0,33.0,16.0,40.0,0.0,0.0,15.0,21.0
Douglas Silva de Andrade,0,0,0,4.2,Said Nurmagomedov,0,0,0,0.37,Blue,Bantamweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,Decision - Unanimous,3,5:00,2022-07-09,"Las Vegas, Nevada, USA",28.0,74.0,44.0,95.0,1.0,1.0,4.0,34.0,11.0,19.0,13.0,21.0,24.0,66.0,2.0,3.0,2.0,5.0,42.0,97.0,77.0,150.0,1.0,5.0,21.0,69.0,12.0,18.0,9.0,10.0,39.0,89.0,3.0,8.0,0.0,0.0
Jared Vanderaa,0,0,0,0.0,Chase Sherman,1,0,0,0.0,Blue,Heavyweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,3,3:10,2022-07-09,"Las Vegas, Nevada, USA",109.0,266.0,109.0,267.0,0.0,0.0,76.0,224.0,18.0,25.0,15.0,17.0,108.0,265.0,1.0,1.0,0.0,0.0,137.0,235.0,137.0,235.0,0.0,0.0,86.0,175.0,32.0,39.0,19.0,21.0,134.0,231.0,3.0,3.0,0.0,1.0
Aiemann Zahabi,0,0,0,0.0,Ricky Turcios,0,0,0,0.0,Red,Bantamweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,Decision - Unanimous,3,5:00,2022-07-09,"Las Vegas, Nevada, USA",54.0,105.0,54.0,105.0,0.0,0.0,18.0,59.0,9.0,14.0,27.0,32.0,53.0,104.0,1.0,1.0,0.0,0.0,27.0,235.0,27.0,235.0,0.0,2.0,14.0,204.0,5.0,21.0,8.0,10.0,27.0,235.0,0.0,0.0,0.0,0.0
Michael Johnson,1,0,0,0.62,Jamie Mullarkey,0,0,0,0.28,Blue,Lightweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,Decision - Split,3,5:00,2022-07-09,"Las Vegas, Nevada, USA",66.0,190.0,68.0,194.0,0.0,2.0,42.0,147.0,22.0,41.0,2.0,2.0,58.0,179.0,4.0,5.0,4.0,6.0,96.0,217.0,96.0,218.0,0.0,2.0,54.0,160.0,21.0,34.0,21.0,23.0,83.0,195.0,11.0,18.0,2.0,4.0
Cody Brundage,1,0,0,1.3,Tresean Gore,0,0,0,0.0,Red,Middleweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,1,3:50,2022-07-09,"Las Vegas, Nevada, USA",15.0,39.0,23.0,49.0,1.0,2.0,10.0,33.0,5.0,6.0,0.0,0.0,12.0,33.0,1.0,2.0,2.0,4.0,8.0,25.0,8.0,27.0,0.0,0.0,2.0,15.0,0.0,1.0,6.0,9.0,8.0,25.0,0.0,0.0,0.0,0.0
Antonina Shevchenko,0,0,0,1.83,Cortney Casey,0,0,0,3.13,Red,Women's Flyweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,Decision - Split,3,5:00,2022-07-09,"Las Vegas, Nevada, USA",55.0,117.0,81.0,158.0,0.0,1.0,26.0,73.0,15.0,26.0,14.0,18.0,54.0,115.0,1.0,2.0,0.0,0.0,33.0,86.0,80.0,146.0,2.0,5.0,17.0,52.0,2.0,7.0,14.0,27.0,28.0,78.0,3.0,4.0,2.0,4.0
David Onama,0,1,0,2.58,Garrett Armfield,0,0,0,1.87,Red,Featherweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,Submission,2,3:13,2022-07-09,"Las Vegas, Nevada, USA",29.0,72.0,46.0,95.0,2.0,6.0,16.0,55.0,13.0,17.0,0.0,0.0,27.0,66.0,1.0,3.0,1.0,3.0,21.0,72.0,29.0,83.0,0.0,2.0,15.0,61.0,4.0,9.0,2.0,2.0,20.0,68.0,1.0,4.0,0.0,0.0
Kennedy Nzechukwu,0,1,0,10.77,Karl Roberson,0,0,0,0.38,Red,Light Heavyweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,3,2:19,2022-07-09,"Las Vegas, Nevada, USA",20.0,43.0,64.0,114.0,5.0,7.0,18.0,37.0,2.0,6.0,0.0,0.0,3.0,22.0,0.0,0.0,17.0,21.0,9.0,19.0,16.0,26.0,0.0,3.0,4.0,13.0,4.0,5.0,1.0,1.0,9.0,19.0,0.0,0.0,0.0,0.0
Ronnie Lawrence,0,0,0,0.07,Saidyokub Kakhramonov,0,0,0,12.32,Blue,Bantamweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,Decision - Unanimous,3,5:00,2022-07-09,"Las Vegas, Nevada, USA",15.0,33.0,16.0,34.0,1.0,2.0,8.0,21.0,4.0,9.0,3.0,3.0,14.0,32.0,1.0,1.0,0.0,0.0,32.0,59.0,105.0,156.0,10.0,16.0,28.0,53.0,1.0,3.0,3.0,3.0,4.0,20.0,7.0,9.0,21.0,30.0
Israel Adesanya,0,0,0,0.0,Jared Cannonier,0,0,0,4.23,Red,Middleweight,1,UFC 276: Adesanya vs. Cannonier,Decision - Unanimous,5,5:00,2022-07-02,"Las Vegas, Nevada, USA",116.0,230.0,163.0,277.0,0.0,0.0,60.0,165.0,26.0,31.0,30.0,34.0,114.0,226.0,2.0,4.0,0.0,0.0,90.0,157.0,141.0,217.0,0.0,4.0,36.0,89.0,32.0,40.0,22.0,28.0,78.0,143.0,12.0,14.0,0.0,0.0
Alexander Volkanovski,0,0,0,1.95,Max Holloway,0,0,0,0.27,Red,Featherweight,1,UFC 276: Adesanya vs. Cannonier,Decision - Unanimous,5,5:00,2022-07-02,"Las Vegas, Nevada, USA",199.0,372.0,204.0,377.0,0.0,0.0,152.0,316.0,19.0,24.0,28.0,32.0,175.0,340.0,24.0,32.0,0.0,0.0,127.0,301.0,161.0,335.0,0.0,3.0,64.0,213.0,42.0,59.0,21.0,29.0,109.0,283.0,18.0,18.0,0.0,0.0
Sean Strickland,0,0,0,0.0,Alex Pereira,1,0,0,0.05,Blue,Middleweight,0,UFC 276: Adesanya vs. Cannonier,KO/TKO,1,2:36,2022-07-02,"Las Vegas, Nevada, USA",15.0,29.0,15.0,29.0,0.0,0.0,9.0,20.0,6.0,8.0,0.0,1.0,15.0,29.0,0.0,0.0,0.0,0.0,25.0,40.0,25.0,40.0,0.0,0.0,5.0,15.0,12.0,14.0,8.0,11.0,25.0,40.0,0.0,0.0,0.0,0.0
Robbie Lawler,0,0,0,0.0,Bryan Barberena,0,0,0,0.0,Blue,Welterweight,0,UFC 276: Adesanya vs. Cannonier,KO/TKO,2,4:47,2022-07-02,"Las Vegas, Nevada, USA",81.0,141.0,81.0,141.0,0.0,0.0,65.0,124.0,15.0,16.0,1.0,1.0,78.0,137.0,3.0,4.0,0.0,0.0,147.0,316.0,148.0,317.0,0.0,0.0,116.0,280.0,18.0,20.0,13.0,16.0,138.0,304.0,9.0,12.0,0.0,0.0
Pedro Munhoz,0,0,0,0.0,Sean O'Malley,0,0,0,0.0,No Contest,Bantamweight,0,UFC 276: Adesanya vs. Cannonier,Could Not Continue,2,3:09,2022-07-02,"Las Vegas, Nevada, USA",26.0,41.0,26.0,41.0,0.0,0.0,0.0,9.0,0.0,2.0,26.0,30.0,26.0,41.0,0.0,0.0,0.0,0.0,25.0,47.0,25.0,47.0,0.0,0.0,14.0,30.0,8.0,14.0,3.0,3.0,25.0,47.0,0.0,0.0,0.0,0.0
Brad Riddell,0,0,0,0.0,Jalin Turner,0,1,0,0.22,Blue,Lightweight,0,UFC 276: Adesanya vs. Cannonier,Submission,1,0:45,2022-07-02,"Las Vegas, Nevada, USA",2.0,3.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,5.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0
Jim Miller,0,1,0,1.05,Donald Cerrone,0,0,1,1.4,Red,Welterweight,0,UFC 276: Adesanya vs. Cannonier,Submission,2,1:32,2022-07-02,"Las Vegas, Nevada, USA",24.0,36.0,35.0,48.0,1.0,1.0,16.0,28.0,6.0,6.0,2.0,2.0,17.0,27.0,0.0,0.0,7.0,9.0,21.0,33.0,24.0,36.0,0.0,0.0,12.0,20.0,6.0,8.0,3.0,5.0,21.0,33.0,0.0,0.0,0.0,0.0
Ian Garry,1,0,0,0.77,Gabe Green,0,0,0,2.2800000000000002,Red,Welterweight,0,UFC 276: Adesanya vs. Cannonier,Decision - Unanimous,3,5:00,2022-07-02,"Las Vegas, Nevada, USA",116.0,193.0,129.0,206.0,1.0,2.0,87.0,160.0,17.0,21.0,12.0,12.0,111.0,188.0,2.0,2.0,3.0,3.0,90.0,195.0,102.0,208.0,1.0,4.0,31.0,112.0,24.0,36.0,35.0,47.0,90.0,194.0,0.0,1.0,0.0,0.0
Brad Tavares,0,0,0,2.02,Dricus Du Plessis,0,0,0,1.3,Blue,Middleweight,0,UFC 276: Adesanya vs. Cannonier,Decision - Unanimous,3,5:00,2022-07-02,"Las Vegas, Nevada, USA",82.0,150.0,98.0,167.0,0.0,1.0,55.0,113.0,21.0,31.0,6.0,6.0,69.0,132.0,12.0,16.0,1.0,2.0,113.0,212.0,123.0,222.0,0.0,7.0,79.0,169.0,17.0,21.0,17.0,22.0,97.0,192.0,14.0,18.0,2.0,2.0
Uriah Hall,0,0,2,0.3,Andre Muniz,0,0,0,10.2,Blue,Middleweight,0,UFC 276: Adesanya vs. Cannonier,Decision - Unanimous,3,5:00,2022-07-02,"Las Vegas, Nevada, USA",6.0,26.0,24.0,49.0,0.0,0.0,6.0,26.0,0.0,0.0,0.0,0.0,3.0,17.0,0.0,0.0,3.0,9.0,17.0,39.0,99.0,185.0,4.0,10.0,11.0,31.0,2.0,3.0,4.0,5.0,12.0,32.0,0.0,1.0,5.0,6.0
Jessica Eye,0,0,0,8.15,Maycee Barber,0,0,0,1.87,Blue,Women's Flyweight,0,UFC 276: Adesanya vs. Cannonier,Decision - Unanimous,3,5:00,2022-07-02,"Las Vegas, Nevada, USA",35.0,62.0,76.0,106.0,1.0,4.0,23.0,48.0,9.0,10.0,3.0,4.0,17.0,41.0,16.0,19.0,2.0,2.0,63.0,97.0,83.0,117.0,0.0,0.0,45.0,78.0,16.0,17.0,2.0,2.0,23.0,51.0,35.0,41.0,5.0,5.0
Jessica-Rose Clark,0,0,0,0.0,Julija Stoliarenko,0,1,0,0.28,Blue,Women's Bantamweight,0,UFC 276: Adesanya vs. Cannonier,Submission,1,0:42,2022-07-02,"Las Vegas, Nevada, USA",9.0,16.0,9.0,16.0,0.0,0.0,6.0,13.0,1.0,1.0,2.0,2.0,7.0,13.0,2.0,2.0,0.0,1.0,6.0,9.0,6.0,9.0,1.0,1.0,6.0,9.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0
Arman Tsarukyan,1,0,0,1.65,Mateusz Gamrot,0,0,0,4.97,Blue,Lightweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Decision - Unanimous,5,5:00,2022-06-25,"Las Vegas, Nevada, USA",95.0,247.0,110.0,264.0,1.0,8.0,43.0,182.0,39.0,48.0,13.0,17.0,88.0,235.0,3.0,6.0,4.0,6.0,81.0,138.0,108.0,166.0,6.0,21.0,68.0,121.0,9.0,12.0,4.0,5.0,73.0,129.0,4.0,5.0,4.0,4.0
Neil Magny,0,0,0,0.12,Shavkat Rakhmonov,0,1,0,9.1,Blue,Welterweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Submission,2,4:58,2022-06-25,"Las Vegas, Nevada, USA",11.0,22.0,21.0,35.0,0.0,0.0,6.0,16.0,2.0,2.0,3.0,4.0,8.0,16.0,0.0,0.0,3.0,6.0,19.0,36.0,56.0,79.0,2.0,2.0,17.0,34.0,2.0,2.0,0.0,0.0,5.0,10.0,0.0,0.0,14.0,26.0
Josh Parisian,0,0,0,3.15,Alan Baudot,1,0,0,1.72,Red,Heavyweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,KO/TKO,2,3:04,2022-06-25,"Las Vegas, Nevada, USA",42.0,68.0,102.0,156.0,3.0,4.0,27.0,53.0,11.0,11.0,4.0,4.0,22.0,39.0,2.0,4.0,18.0,25.0,49.0,75.0,56.0,82.0,0.0,0.0,34.0,59.0,8.0,9.0,7.0,7.0,23.0,47.0,11.0,11.0,15.0,17.0
Thiago Moises,0,1,0,2.57,Christos Giagos,0,0,0,0.0,Red,Lightweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Submission,1,3:05,2022-06-25,"Las Vegas, Nevada, USA",3.0,4.0,7.0,9.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,5.0,13.0,16.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
Nate Maness,0,0,0,0.0,Umar Nurmagomedov,0,0,0,10.82,Blue,Bantamweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Decision - Unanimous,3,5:00,2022-06-25,"Las Vegas, Nevada, USA",2.0,20.0,46.0,68.0,0.0,0.0,1.0,19.0,1.0,1.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,74.0,100.0,128.0,161.0,3.0,4.0,60.0,79.0,10.0,15.0,4.0,6.0,17.0,33.0,0.0,0.0,57.0,67.0
Chris Curtis,0,0,0,0.58,Rodolfo Vieira,0,0,0,2.08,Red,Middleweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Decision - Unanimous,3,5:00,2022-06-25,"Las Vegas, Nevada, USA",109.0,174.0,128.0,193.0,0.0,0.0,80.0,136.0,29.0,38.0,0.0,0.0,104.0,167.0,2.0,4.0,3.0,3.0,86.0,145.0,90.0,149.0,0.0,20.0,64.0,121.0,6.0,8.0,16.0,16.0,83.0,140.0,3.0,5.0,0.0,0.0
Carlos Ulberg,1,0,0,0.07,Tafon Nchukwi,0,0,0,0.0,Red,Light Heavyweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,KO/TKO,1,1:15,2022-06-25,"Las Vegas, Nevada, USA",15.0,19.0,15.0,19.0,0.0,0.0,9.0,13.0,3.0,3.0,3.0,3.0,12.0,15.0,0.0,0.0,3.0,4.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0
Shayilan Nuerdanbieke,1,0,2,7.53,TJ Brown,0,4,2,2.9,Red,Featherweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Decision - Unanimous,3,5:00,2022-06-25,"Las Vegas, Nevada, USA",47.0,79.0,86.0,121.0,3.0,6.0,41.0,73.0,1.0,1.0,5.0,5.0,32.0,61.0,2.0,2.0,13.0,16.0,42.0,99.0,58.0,125.0,1.0,2.0,30.0,86.0,9.0,10.0,3.0,3.0,36.0,92.0,3.0,3.0,3.0,4.0
Raulian Paiva,0,0,0,0.22,Sergey Morozov,0,0,0,4.58,Blue,Bantamweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Decision - Unanimous,3,5:00,2022-06-25,"Las Vegas, Nevada, USA",63.0,142.0,63.0,142.0,1.0,4.0,51.0,120.0,10.0,20.0,2.0,2.0,62.0,140.0,1.0,1.0,0.0,1.0,68.0,127.0,82.0,143.0,2.0,13.0,56.0,113.0,8.0,9.0,4.0,5.0,66.0,122.0,1.0,3.0,1.0,2.0
JP Buys,0,0,0,0.0,Cody Durden,1,0,0,0.43,Blue,Flyweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,KO/TKO,1,1:08,2022-06-25,"Las Vegas, Nevada, USA",7.0,11.0,7.0,11.0,0.0,2.0,4.0,7.0,1.0,1.0,2.0,3.0,5.0,9.0,2.0,2.0,0.0,0.0,23.0,30.0,34.0,41.0,0.0,0.0,21.0,28.0,2.0,2.0,0.0,0.0,8.0,12.0,1.0,1.0,14.0,17.0
Brian Kelleher,0,0,0,0.0,Mario Bautista,0,1,0,1.47,Blue,Bantamweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Submission,1,2:27,2022-06-25,"Las Vegas, Nevada, USA",2.0,3.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,17.0,6.0,17.0,2.0,2.0,3.0,14.0,1.0,1.0,2.0,2.0,4.0,15.0,0.0,0.0,2.0,2.0
Vanessa Demopoulos,0,0,0,4.23,Jinh Yu Frey,0,0,0,0.18,Red,Women's Strawweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Decision - Split,3,5:00,2022-06-25,"Las Vegas, Nevada, USA",66.0,139.0,71.0,144.0,1.0,7.0,34.0,100.0,25.0,31.0,7.0,8.0,40.0,107.0,26.0,32.0,0.0,0.0,62.0,133.0,81.0,153.0,0.0,1.0,49.0,116.0,8.0,11.0,5.0,6.0,58.0,128.0,4.0,5.0,0.0,0.0
Calvin Kattar,0,0,0,0.0,Josh Emmett,0,0,0,0.07,Blue,Featherweight,0,UFC Fight Night: Kattar vs. Emmett,Decision - Split,5,5:00,2022-06-18,"Austin, Texas, USA",130.0,375.0,131.0,376.0,0.0,0.0,114.0,351.0,15.0,23.0,1.0,1.0,130.0,375.0,0.0,0.0,0.0,0.0,107.0,332.0,107.0,332.0,0.0,4.0,73.0,286.0,26.0,37.0,8.0,9.0,106.0,330.0,1.0,2.0,0.0,0.0
Tim Means,0,0,0,1.5,Kevin Holland,0,1,0,0.15,Blue,Welterweight,0,UFC Fight Night: Kattar vs. Emmett,Submission,2,1:28,2022-06-18,"Austin, Texas, USA",21.0,46.0,25.0,52.0,2.0,5.0,8.0,25.0,11.0,17.0,2.0,4.0,20.0,45.0,1.0,1.0,0.0,0.0,36.0,90.0,53.0,109.0,0.0,1.0,26.0,71.0,3.0,9.0,7.0,10.0,33.0,85.0,3.0,5.0,0.0,0.0
Joaquin Buckley,2,0,0,0.37,Albert Duraev,0,0,0,1.8,Red,Middleweight,0,UFC Fight Night: Kattar vs. Emmett,TKO - Doctor's Stoppage,2,5:00,2022-06-18,"Austin, Texas, USA",27.0,105.0,30.0,108.0,0.0,0.0,15.0,80.0,11.0,24.0,1.0,1.0,23.0,98.0,3.0,6.0,1.0,1.0,10.0,50.0,17.0,60.0,2.0,9.0,3.0,38.0,3.0,6.0,4.0,6.0,9.0,49.0,1.0,1.0,0.0,0.0
Damir Ismagulov,0,0,0,0.77,Guram Kutateladze,0,0,0,0.65,Red,Lightweight,0,UFC Fight Night: Kattar vs. Emmett,Decision - Split,3,5:00,2022-06-18,"Austin, Texas, USA",79.0,192.0,83.0,197.0,0.0,6.0,63.0,173.0,14.0,17.0,2.0,2.0,76.0,184.0,3.0,8.0,0.0,0.0,78.0,187.0,80.0,190.0,1.0,7.0,29.0,129.0,28.0,33.0,21.0,25.0,64.0,170.0,13.0,16.0,1.0,1.0
Julian Marquez,0,0,0,0.0,Gregory Rodrigues,3,0,0,0.87,Blue,Middleweight,0,UFC Fight Night: Kattar vs. Emmett,KO/TKO,1,3:18,2022-06-18,"Austin, Texas, USA",13.0,42.0,13.0,42.0,0.0,0.0,8.0,36.0,0.0,1.0,5.0,5.0,13.0,36.0,0.0,6.0,0.0,0.0,49.0,72.0,50.0,74.0,0.0,0.0,46.0,67.0,3.0,5.0,0.0,0.0,33.0,49.0,3.0,6.0,13.0,17.0
Adrian Yanez,1,0,0,0.07,Tony Kelley,0,0,0,0.03,Red,Bantamweight,0,UFC Fight Night: Kattar vs. Emmett,KO/TKO,1,3:49,2022-06-18,"Austin, Texas, USA",35.0,67.0,36.0,68.0,0.0,0.0,29.0,60.0,6.0,7.0,0.0,0.0,29.0,60.0,1.0,2.0,5.0,5.0,20.0,49.0,21.0,50.0,0.0,0.0,12.0,29.0,6.0,16.0,2.0,4.0,20.0,48.0,0.0,1.0,0.0,0.0
