R_Fighter,R_KD,R_Sig. str.,R_Sig. str. %,R_Total str.,R_Td,R_Td %,R_Sub. att,R_Rev.,R_Ctrl,R_Head,R_Body,R_Leg,R_Distance,R_Clinch,R_Ground,B_Fighter,B_KD,B_Sig. str.,B_Sig. str. %,B_Total str.,B_Td,B_Td %,B_Sub. att,B_Rev.,B_Ctrl,B_Head,B_Body,B_Leg,B_Distance,B_Clinch,B_Ground,Winner,Division,Title_Bout,Event,Method,Round,Time
Martin Kampmann,1,101 of 200,50%,109 of 208,0 of 0,---,0,0,1:40,74 of 173,14 of 14,13 of 13,79 of 172,20 of 26,2 of 2,Thales Leites,1,46 of 171,26%,53 of 178,1 of 12,8%,0,0,2:31,37 of 160,7 of 9,2 of 2,36 of 153,7 of 10,3 of 8,Red,Middleweight,0,The Ultimate Fighter: The Comeback Finale,Decision - Unanimous,3,5:00
Anderson Silva,1,31 of 36,86%,31 of 36,0 of 0,---,0,0,0:22,5 of 9,23 of 24,3 of 3,5 of 8,26 of 28,0 of 0,Rich Franklin,0,10 of 23,43%,13 of 26,0 of 0,---,0,0,0:00,4 of 16,1 of 2,5 of 5,8 of 19,2 of 4,0 of 0,Red,Middleweight,1,UFC 64: Unstoppable,KO/TKO,1,2:59
Sean Sherk,0,60 of 104,57%,161 of 217,8 of 13,61%,1,0,19:48,55 of 98,1 of 1,4 of 5,8 of 15,3 of 6,49 of 83,Kenny Florian,0,23 of 40,57%,90 of 110,0 of 1,0%,4,1,0:33,12 of 28,10 of 11,1 of 1,12 of 28,0 of 0,11 of 12,Red,Lightweight,1,UFC 64: Unstoppable,Decision - Unanimous,5,5:00
Jon Fitch,0,44 of 78,56%,184 of 230,5 of 6,83%,0,0,12:00,36 of 68,4 of 6,4 of 4,15 of 32,1 of 4,28 of 42,Kuniyoshi Hironaka,0,4 of 17,23%,17 of 31,0 of 2,0%,2,0,0:50,2 of 14,2 of 3,0 of 0,3 of 15,1 of 2,0 of 0,Red,Welterweight,0,UFC 64: Unstoppable,Decision - Unanimous,3,5:00
Carmelo Marrero,0,16 of 31,51%,70 of 88,6 of 10,60%,0,0,9:02,6 of 20,10 of 11,0 of 0,0 of 1,0 of 1,16 of 29,Cheick Kongo,0,18 of 42,42%,70 of 94,0 of 2,0%,2,0,2:45,4 of 20,4 of 4,10 of 18,13 of 36,5 of 5,0 of 1,Red,Heavyweight,0,UFC 64: Unstoppable,Decision - Split,3,5:00
Spencer Fisher,1,13 of 17,76%,28 of 32,0 of 0,---,0,0,0:11,12 of 16,1 of 1,0 of 0,3 of 3,7 of 11,3 of 3,Dan Lauzon,0,8 of 25,32%,13 of 33,2 of 5,40%,0,0,3:39,7 of 23,0 of 0,1 of 2,0 of 0,1 of 2,7 of 23,Red,Lightweight,0,UFC 64: Unstoppable,KO/TKO,1,4:38
Yushin Okami,0,39 of 76,51%,53 of 93,3 of 4,75%,1,0,4:06,30 of 67,7 of 7,2 of 2,17 of 46,9 of 10,13 of 20,Kalib Starnes,0,19 of 36,52%,27 of 44,0 of 4,0%,1,0,2:03,4 of 17,1 of 3,14 of 16,8 of 25,11 of 11,0 of 0,Red,Middleweight,0,UFC 64: Unstoppable,KO/TKO,3,1:40
Clay Guida,0,26 of 52,50%,93 of 125,2 of 4,50%,2,0,7:32,23 of 49,2 of 2,1 of 1,2 of 13,1 of 1,23 of 38,Justin James,0,13 of 36,36%,28 of 52,0 of 0,---,1,0,0:26,8 of 31,5 of 5,0 of 0,3 of 24,8 of 10,2 of 2,Red,Lightweight,0,UFC 64: Unstoppable,Submission,2,4:42
Kurt Pellegrino,0,5 of 9,55%,30 of 37,1 of 1,100%,1,0,1:54,5 of 9,0 of 0,0 of 0,0 of 0,0 of 0,5 of 9,Junior Assuncao,0,1 of 6,16%,3 of 10,0 of 0,---,0,0,0:00,1 of 6,0 of 0,0 of 0,1 of 6,0 of 0,0 of 0,Red,Lightweight,0,UFC 64: Unstoppable,Submission,1,2:04
Tito Ortiz,0,18 of 29,62%,38 of 52,1 of 1,100%,0,0,2:06,15 of 25,1 of 1,2 of 3,0 of 2,3 of 3,15 of 24,Ken Shamrock,0,0 of 0,---,7 of 7,0 of 0,---,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,Red,Light Heavyweight,0,Ortiz vs Shamrock 3: The Final Chapter,KO/TKO,1,2:23
