R_Fighter,R_KD,R_Sig. str.,R_Sig. str. %,R_Total str.,R_Td,R_Td %,R_Sub. att,R_Rev.,R_Ctrl,R_Head,R_Body,R_Leg,R_Distance,R_Clinch,R_Ground,B_Fighter,B_KD,B_Sig. str.,B_Sig. str. %,B_Total str.,B_Td,B_Td %,B_Sub. att,B_Rev.,B_Ctrl,B_Head,B_Body,B_Leg,B_Distance,B_Clinch,B_Ground,Winner,Division,Title_Bout,Event,Method,Round,Time
Brian Ortega,0,22 of 35,62%,26 of 39,1 of 5,20%,0,0,2:24,18 of 30,3 of 3,1 of 2,15 of 27,7 of 8,0 of 0,Yair Rodriguez,0,23 of 46,50%,48 of 76,0 of 0,---,0,0,0:00,18 of 41,0 of 0,5 of 5,21 of 44,1 of 1,1 of 1,Blue,Featherweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,1,4:11
Michelle Waterson-Gomez,0,29 of 56,51%,35 of 62,1 of 2,50%,0,0,1:08,7 of 24,7 of 10,15 of 22,27 of 54,0 of 0,2 of 2,Amanda Lemos,0,20 of 35,57%,20 of 35,0 of 0,---,1,1,0:05,11 of 23,3 of 5,6 of 7,20 of 35,0 of 0,0 of 0,Blue,Women's Strawweight,0,UFC Fight Night: Ortega vs. Rodriguez,Submission,2,1:48
Li Jingliang,1,38 of 87,43%,40 of 91,1 of 2,50%,0,0,0:30,13 of 49,12 of 18,13 of 20,30 of 75,6 of 8,2 of 4,Muslim Salikhov,0,23 of 56,41%,33 of 67,1 of 4,25%,0,0,1:10,18 of 48,3 of 6,2 of 2,20 of 51,0 of 1,3 of 4,Red,Welterweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,2,4:38
Matt Schnell,0,47 of 81,58%,79 of 120,2 of 3,66%,2,1,2:40,36 of 70,5 of 5,6 of 6,16 of 40,9 of 12,22 of 29,Sumudaerji,1,58 of 83,69%,67 of 92,0 of 0,---,0,2,2:13,37 of 61,10 of 11,11 of 11,35 of 53,13 of 19,10 of 11,Red,Flyweight,0,UFC Fight Night: Ortega vs. Rodriguez,Submission,2,4:24
Shane Burgos,0,42 of 80,52%,67 of 116,2 of 7,28%,3,0,6:25,16 of 47,6 of 12,20 of 21,28 of 61,13 of 18,1 of 1,Charles Jourdain,0,113 of 188,60%,161 of 241,0 of 1,0%,0,0,2:08,72 of 145,36 of 37,5 of 6,68 of 133,41 of 51,4 of 4,Red,Featherweight,0,UFC Fight Night: Ortega vs. Rodriguez,Decision - Majority,3,5:00
Lauren Murphy,0,102 of 184,55%,128 of 211,2 of 6,33%,0,0,1:18,77 of 154,24 of 29,1 of 1,68 of 142,31 of 39,3 of 3,Miesha Tate,0,85 of 164,51%,121 of 201,0 of 7,0%,0,0,2:05,61 of 122,18 of 34,6 of 8,67 of 138,18 of 26,0 of 0,Red,Women's Flyweight,0,UFC Fight Night: Ortega vs. Rodriguez,Decision - Unanimous,3,5:00
Punahele Soriano,1,17 of 35,48%,19 of 37,0 of 1,0%,0,0,0:04,8 of 25,9 of 10,0 of 0,9 of 26,4 of 5,4 of 4,Dalcha Lungiambula,0,11 of 22,50%,17 of 28,2 of 2,100%,0,0,1:39,6 of 16,2 of 3,3 of 3,9 of 18,0 of 2,2 of 2,Red,Middleweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,2,0:28
Ricky Simon,1,25 of 38,65%,46 of 59,2 of 8,25%,1,0,4:06,13 of 25,2 of 2,10 of 11,18 of 30,4 of 4,3 of 4,Jack Shore,0,19 of 44,43%,27 of 52,0 of 3,0%,0,0,0:13,15 of 40,4 of 4,0 of 0,17 of 42,2 of 2,0 of 0,Red,Bantamweight,0,UFC Fight Night: Ortega vs. Rodriguez,Submission,2,3:28
Bill Algeo,0,28 of 36,77%,81 of 104,1 of 1,100%,0,0,5:26,21 of 28,6 of 7,1 of 1,2 of 4,2 of 2,24 of 30,Herbert Burns,0,10 of 12,83%,18 of 25,1 of 2,50%,2,0,0:32,6 of 8,4 of 4,0 of 0,1 of 1,3 of 3,6 of 8,Red,Featherweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,2,1:50
Dustin Jacoby,1,14 of 23,60%,14 of 23,0 of 0,---,0,0,0:00,6 of 14,1 of 2,7 of 7,14 of 23,0 of 0,0 of 0,Da-Un Jung,0,14 of 39,35%,14 of 39,0 of 0,---,0,0,0:00,6 of 26,1 of 4,7 of 9,14 of 39,0 of 0,0 of 0,Red,Light Heavyweight,0,UFC Fight Night: Ortega vs. Rodriguez,KO/TKO,1,3:13
Dwight Grant,0,52 of 100,52%,54 of 102,0 of 0,---,0,0,0:00,35 of 79,7 of 9,10 of 12,50 of 97,2 of 3,0 of 0,Dustin Stoltzfus,0,49 of 112,43%,102 of 173,2 of 5,40%,0,0,4:17,23 of 81,7 of 8,19 of 23,35 of 88,3 of 4,11 of 20,Blue,Middleweight,0,UFC Fight Night: Ortega vs. Rodriguez,Decision - Unanimous,3,5:00
Jessica Penne,0,63 of 244,25%,68 of 249,0 of 8,0%,0,0,0:00,37 of 208,26 of 36,0 of 0,55 of 234,8 of 10,0 of 0,Emily Ducote,0,116 of 205,56%,117 of 206,0 of 0,---,0,0,0:00,41 of 113,24 of 34,51 of 58,115 of 203,1 of 2,0 of 0,Blue,Women's Strawweight,0,UFC Fight Night: Ortega vs. Rodriguez,Decision - Unanimous,3,5:00
Rafael Dos Anjos,0,54 of 110,49%,90 of 162,2 of 16,12%,0,0,6:13,31 of 80,12 of 14,11 of 16,50 of 106,4 of 4,0 of 0,Rafael Fiziev,1,64 of 159,40%,92 of 192,0 of 1,0%,0,0,2:59,32 of 102,27 of 52,5 of 5,62 of 155,1 of 2,1 of 2,Blue,Lightweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,5,0:18
Caio Borralho,0,12 of 25,48%,49 of 83,4 of 5,80%,0,0,10:09,4 of 15,6 of 8,2 of 2,11 of 23,1 of 2,0 of 0,Armen Petrosyan,0,31 of 61,50%,72 of 132,0 of 0,---,0,1,1:19,2 of 19,3 of 9,26 of 33,16 of 40,0 of 0,15 of 21,Red,Middleweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,Decision - Unanimous,3,5:00
Douglas Silva de Andrade,0,28 of 74,37%,44 of 95,1 of 1,100%,0,0,4:12,4 of 34,11 of 19,13 of 21,24 of 66,2 of 3,2 of 5,Said Nurmagomedov,0,42 of 97,43%,77 of 150,1 of 5,20%,0,0,0:22,21 of 69,12 of 18,9 of 10,39 of 89,3 of 8,0 of 0,Blue,Bantamweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,Decision - Unanimous,3,5:00
Jared Vanderaa,0,109 of 266,40%,109 of 267,0 of 0,---,0,0,0:00,76 of 224,18 of 25,15 of 17,108 of 265,1 of 1,0 of 0,Chase Sherman,1,137 of 235,58%,137 of 235,0 of 0,---,0,0,0:00,86 of 175,32 of 39,19 of 21,134 of 231,3 of 3,0 of 1,Blue,Heavyweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,3,3:10
Aiemann Zahabi,0,54 of 105,51%,54 of 105,0 of 0,---,0,0,0:00,18 of 59,9 of 14,27 of 32,53 of 104,1 of 1,0 of 0,Ricky Turcios,0,27 of 235,11%,27 of 235,0 of 2,0%,0,0,0:00,14 of 204,5 of 21,8 of 10,27 of 235,0 of 0,0 of 0,Red,Bantamweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,Decision - Unanimous,3,5:00
Michael Johnson,1,66 of 190,34%,68 of 194,0 of 2,0%,0,0,0:37,42 of 147,22 of 41,2 of 2,58 of 179,4 of 5,4 of 6,Jamie Mullarkey,0,96 of 217,44%,96 of 218,0 of 2,0%,0,0,0:17,54 of 160,21 of 34,21 of 23,83 of 195,11 of 18,2 of 4,Blue,Lightweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,Decision - Split,3,5:00
Cody Brundage,1,15 of 39,38%,23 of 49,1 of 2,50%,0,0,1:18,10 of 33,5 of 6,0 of 0,12 of 33,1 of 2,2 of 4,Tresean Gore,0,8 of 25,32%,8 of 27,0 of 0,---,0,0,0:00,2 of 15,0 of 1,6 of 9,8 of 25,0 of 0,0 of 0,Red,Middleweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,1,3:50
Antonina Shevchenko,0,55 of 117,47%,81 of 158,0 of 1,0%,0,0,1:50,26 of 73,15 of 26,14 of 18,54 of 115,1 of 2,0 of 0,Cortney Casey,0,33 of 86,38%,80 of 146,2 of 5,40%,0,0,3:08,17 of 52,2 of 7,14 of 27,28 of 78,3 of 4,2 of 4,Red,Women's Flyweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,Decision - Split,3,5:00
David Onama,0,29 of 72,40%,46 of 95,2 of 6,33%,1,0,2:35,16 of 55,13 of 17,0 of 0,27 of 66,1 of 3,1 of 3,Garrett Armfield,0,21 of 72,29%,29 of 83,0 of 2,0%,0,0,1:52,15 of 61,4 of 9,2 of 2,20 of 68,1 of 4,0 of 0,Red,Featherweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,Submission,2,3:13
Kennedy Nzechukwu,0,20 of 43,46%,64 of 114,5 of 7,71%,1,0,10:46,18 of 37,2 of 6,0 of 0,3 of 22,0 of 0,17 of 21,Karl Roberson,0,9 of 19,47%,16 of 26,0 of 3,0%,0,0,0:23,4 of 13,4 of 5,1 of 1,9 of 19,0 of 0,0 of 0,Red,Light Heavyweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,KO/TKO,3,2:19
Ronnie Lawrence,0,15 of 33,45%,16 of 34,1 of 2,50%,0,0,0:04,8 of 21,4 of 9,3 of 3,14 of 32,1 of 1,0 of 0,Saidyokub Kakhramonov,0,32 of 59,54%,105 of 156,10 of 16,62%,0,0,12:19,28 of 53,1 of 3,3 of 3,4 of 20,7 of 9,21 of 30,Blue,Bantamweight,0,UFC Fight Night: Dos Anjos vs. Fiziev,Decision - Unanimous,3,5:00
Israel Adesanya,0,116 of 230,50%,163 of 277,0 of 0,---,0,0,0:00,60 of 165,26 of 31,30 of 34,114 of 226,2 of 4,0 of 0,Jared Cannonier,0,90 of 157,57%,141 of 217,0 of 4,0%,0,0,4:14,36 of 89,32 of 40,22 of 28,78 of 143,12 of 14,0 of 0,Red,Middleweight,1,UFC 276: Adesanya vs. Cannonier,Decision - Unanimous,5,5:00
Alexander Volkanovski,0,199 of 372,53%,204 of 377,0 of 0,---,0,0,1:57,152 of 316,19 of 24,28 of 32,175 of 340,24 of 32,0 of 0,Max Holloway,0,127 of 301,42%,161 of 335,0 of 3,0%,0,0,0:16,64 of 213,42 of 59,21 of 29,109 of 283,18 of 18,0 of 0,Red,Featherweight,1,UFC 276: Adesanya vs. Cannonier,Decision - Unanimous,5,5:00
Sean Strickland,0,15 of 29,51%,15 of 29,0 of 0,---,0,0,0:00,9 of 20,6 of 8,0 of 1,15 of 29,0 of 0,0 of 0,Alex Pereira,1,25 of 40,62%,25 of 40,0 of 0,---,0,0,0:03,5 of 15,12 of 14,8 of 11,25 of 40,0 of 0,0 of 0,Blue,Middleweight,0,UFC 276: Adesanya vs. Cannonier,KO/TKO,1,2:36
Robbie Lawler,0,81 of 141,57%,81 of 141,0 of 0,---,0,0,0:00,65 of 124,15 of 16,1 of 1,78 of 137,3 of 4,0 of 0,Bryan Barberena,0,147 of 316,46%,148 of 317,0 of 0,---,0,0,0:00,116 of 280,18 of 20,13 of 16,138 of 304,9 of 12,0 of 0,Blue,Welterweight,0,UFC 276: Adesanya vs. Cannonier,KO/TKO,2,4:47
Pedro Munhoz,0,26 of 41,63%,26 of 41,0 of 0,---,0,0,0:00,0 of 9,0 of 2,26 of 30,26 of 41,0 of 0,0 of 0,Sean O'Malley,0,25 of 47,53%,25 of 47,0 of 0,---,0,0,0:00,14 of 30,8 of 14,3 of 3,25 of 47,0 of 0,0 of 0,No Contest,Bantamweight,0,UFC 276: Adesanya vs. Cannonier,Could Not Continue,2,3:09
Brad Riddell,0,2 of 3,66%,2 of 3,0 of 1,0%,0,0,0:00,0 of 1,0 of 0,2 of 2,2 of 3,0 of 0,0 of 0,Jalin Turner,0,3 of 5,60%,3 of 5,0 of 0,---,1,0,0:13,1 of 2,1 of 2,1 of 1,3 of 5,0 of 0,0 of 0,Blue,Lightweight,0,UFC 276: Adesanya vs. Cannonier,Submission,1,0:45
Jim Miller,0,24 of 36,66%,35 of 48,1 of 1,100%,1,0,1:03,16 of 28,6 of 6,2 of 2,17 of 27,0 of 0,7 of 9,Donald Cerrone,0,21 of 33,63%,24 of 36,0 of 0,---,0,1,1:24,12 of 20,6 of 8,3 of 5,21 of 33,0 of 0,0 of 0,Red,Welterweight,0,UFC 276: Adesanya vs. Cannonier,Submission,2,1:32
Ian Garry,1,116 of 193,60%,129 of 206,1 of 2,50%,0,0,0:46,87 of 160,17 of 21,12 of 12,111 of 188,2 of 2,3 of 3,Gabe Green,0,90 of 195,46%,102 of 208,1 of 4,25%,0,0,2:17,31 of 112,24 of 36,35 of 47,90 of 194,0 of 1,0 of 0,Red,Welterweight,0,UFC 276: Adesanya vs. Cannonier,Decision - Unanimous,3,5:00
Brad Tavares,0,82 of 150,54%,98 of 167,0 of 1,0%,0,0,2:01,55 of 113,21 of 31,6 of 6,69 of 132,12 of 16,1 of 2,Dricus Du Plessis,0,113 of 212,53%,123 of 222,0 of 7,0%,0,0,1:18,79 of 169,17 of 21,17 of 22,97 of 192,14 of 18,2 of 2,Blue,Middleweight,0,UFC 276: Adesanya vs. Cannonier,Decision - Unanimous,3,5:00
Uriah Hall,0,6 of 26,23%,24 of 49,0 of 0,---,0,2,0:18,6 of 26,0 of 0,0 of 0,3 of 17,0 of 0,3 of 9,Andre Muniz,0,17 of 39,43%,99 of 185,4 of 10,40%,0,0,10:12,11 of 31,2 of 3,4 of 5,12 of 32,0 of 1,5 of 6,Blue,Middleweight,0,UFC 276: Adesanya vs. Cannonier,Decision - Unanimous,3,5:00
Jessica Eye,0,35 of 62,56%,76 of 106,1 of 4,25%,0,0,8:09,23 of 48,9 of 10,3 of 4,17 of 41,16 of 19,2 of 2,Maycee Barber,0,63 of 97,64%,83 of 117,0 of 0,---,0,0,1:52,45 of 78,16 of 17,2 of 2,23 of 51,35 of 41,5 of 5,Blue,Women's Flyweight,0,UFC 276: Adesanya vs. Cannonier,Decision - Unanimous,3,5:00
Jessica-Rose Clark,0,9 of 16,56%,9 of 16,0 of 0,---,0,0,0:00,6 of 13,1 of 1,2 of 2,7 of 13,2 of 2,0 of 1,Julija Stoliarenko,0,6 of 9,66%,6 of 9,1 of 1,100%,1,0,0:17,6 of 9,0 of 0,0 of 0,6 of 9,0 of 0,0 of 0,Blue,Women's Bantamweight,0,UFC 276: Adesanya vs. Cannonier,Submission,1,0:42
Arman Tsarukyan,1,95 of 247,38%,110 of 264,1 of 8,12%,0,0,1:39,43 of 182,39 of 48,13 of 17,88 of 235,3 of 6,4 of 6,Mateusz Gamrot,0,81 of 138,58%,108 of 166,6 of 21,28%,0,0,4:58,68 of 121,9 of 12,4 of 5,73 of 129,4 of 5,4 of 4,Blue,Lightweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Decision - Unanimous,5,5:00
Neil Magny,0,11 of 22,50%,21 of 35,0 of 0,---,0,0,0:07,6 of 16,2 of 2,3 of 4,8 of 16,0 of 0,3 of 6,Shavkat Rakhmonov,0,19 of 36,52%,56 of 79,2 of 2,100%,1,0,9:06,17 of 34,2 of 2,0 of 0,5 of 10,0 of 0,14 of 26,Blue,Welterweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Submission,2,4:58
Josh Parisian,0,42 of 68,61%,102 of 156,3 of 4,75%,0,0,3:09,27 of 53,11 of 11,4 of 4,22 of 39,2 of 4,18 of 25,Alan Baudot,1,49 of 75,65%,56 of 82,0 of 0,---,0,0,1:43,34 of 59,8 of 9,7 of 7,23 of 47,11 of 11,15 of 17,Red,Heavyweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,KO/TKO,2,3:04
Thiago Moises,0,3 of 4,75%,7 of 9,1 of 2,50%,1,0,2:34,2 of 3,0 of 0,1 of 1,2 of 3,1 of 1,0 of 0,Christos Giagos,0,2 of 5,40%,13 of 16,0 of 0,---,0,0,0:00,1 of 4,1 of 1,0 of 0,2 of 5,0 of 0,0 of 0,Red,Lightweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Submission,1,3:05
Nate Maness,0,2 of 20,10%,46 of 68,0 of 0,---,0,0,0:00,1 of 19,1 of 1,0 of 0,2 of 20,0 of 0,0 of 0,Umar Nurmagomedov,0,74 of 100,74%,128 of 161,3 of 4,75%,0,0,10:49,60 of 79,10 of 15,4 of 6,17 of 33,0 of 0,57 of 67,Blue,Bantamweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Decision - Unanimous,3,5:00
Chris Curtis,0,109 of 174,62%,128 of 193,0 of 0,---,0,0,0:35,80 of 136,29 of 38,0 of 0,104 of 167,2 of 4,3 of 3,Rodolfo Vieira,0,86 of 145,59%,90 of 149,0 of 20,0%,0,0,2:05,64 of 121,6 of 8,16 of 16,83 of 140,3 of 5,0 of 0,Red,Middleweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Decision - Unanimous,3,5:00
Carlos Ulberg,1,15 of 19,78%,15 of 19,0 of 0,---,0,0,0:04,9 of 13,3 of 3,3 of 3,12 of 15,0 of 0,3 of 4,Tafon Nchukwi,0,3 of 4,75%,3 of 4,0 of 0,---,0,0,0:00,0 of 0,0 of 0,3 of 4,3 of 4,0 of 0,0 of 0,Red,Light Heavyweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,KO/TKO,1,1:15
Shayilan Nuerdanbieke,1,47 of 79,59%,86 of 121,3 of 6,50%,0,2,7:32,41 of 73,1 of 1,5 of 5,32 of 61,2 of 2,13 of 16,TJ Brown,0,42 of 99,42%,58 of 125,1 of 2,50%,4,2,2:54,30 of 86,9 of 10,3 of 3,36 of 92,3 of 3,3 of 4,Red,Featherweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Decision - Unanimous,3,5:00
Raulian Paiva,0,63 of 142,44%,63 of 142,1 of 4,25%,0,0,0:13,51 of 120,10 of 20,2 of 2,62 of 140,1 of 1,0 of 1,Sergey Morozov,0,68 of 127,53%,82 of 143,2 of 13,15%,0,0,4:35,56 of 113,8 of 9,4 of 5,66 of 122,1 of 3,1 of 2,Blue,Bantamweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Decision - Unanimous,3,5:00
JP Buys,0,7 of 11,63%,7 of 11,0 of 2,0%,0,0,0:00,4 of 7,1 of 1,2 of 3,5 of 9,2 of 2,0 of 0,Cody Durden,1,23 of 30,76%,34 of 41,0 of 0,---,0,0,0:26,21 of 28,2 of 2,0 of 0,8 of 12,1 of 1,14 of 17,Blue,Flyweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,KO/TKO,1,1:08
Brian Kelleher,0,2 of 3,66%,2 of 3,0 of 0,---,0,0,0:00,1 of 2,0 of 0,1 of 1,2 of 3,0 of 0,0 of 0,Mario Bautista,0,6 of 17,35%,6 of 17,2 of 2,100%,1,0,1:28,3 of 14,1 of 1,2 of 2,4 of 15,0 of 0,2 of 2,Blue,Bantamweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Submission,1,2:27
Vanessa Demopoulos,0,66 of 139,47%,71 of 144,1 of 7,14%,0,0,4:14,34 of 100,25 of 31,7 of 8,40 of 107,26 of 32,0 of 0,Jinh Yu Frey,0,62 of 133,46%,81 of 153,0 of 1,0%,0,0,0:11,49 of 116,8 of 11,5 of 6,58 of 128,4 of 5,0 of 0,Red,Women's Strawweight,0,UFC Fight Night: Tsarukyan vs. Gamrot,Decision - Split,3,5:00
Calvin Kattar,0,130 of 375,34%,131 of 376,0 of 0,---,0,0,0:00,114 of 351,15 of 23,1 of 1,130 of 375,0 of 0,0 of 0,Josh Emmett,0,107 of 332,32%,107 of 332,0 of 4,0%,0,0,0:04,73 of 286,26 of 37,8 of 9,106 of 330,1 of 2,0 of 0,Blue,Featherweight,0,UFC Fight Night: Kattar vs. Emmett,Decision - Split,5,5:00
Tim Means,0,21 of 46,45%,25 of 52,2 of 5,40%,0,0,1:30,8 of 25,11 of 17,2 of 4,20 of 45,1 of 1,0 of 0,Kevin Holland,0,36 of 90,40%,53 of 109,0 of 1,0%,1,0,0:09,26 of 71,3 of 9,7 of 10,33 of 85,3 of 5,0 of 0,Blue,Welterweight,0,UFC Fight Night: Kattar vs. Emmett,Submission,2,1:28
Joaquin Buckley,2,27 of 105,25%,30 of 108,0 of 0,---,0,0,0:22,15 of 80,11 of 24,1 of 1,23 of 98,3 of 6,1 of 1,Albert Duraev,0,10 of 50,20%,17 of 60,2 of 9,22%,0,0,1:48,3 of 38,3 of 6,4 of 6,9 of 49,1 of 1,0 of 0,Red,Middleweight,0,UFC Fight Night: Kattar vs. Emmett,TKO - Doctor's Stoppage,2,5:00
Damir Ismagulov,0,79 of 192,41%,83 of 197,0 of 6,0%,0,0,0:46,63 of 173,14 of 17,2 of 2,76 of 184,3 of 8,0 of 0,Guram Kutateladze,0,78 of 187,41%,80 of 190,1 of 7,14%,0,0,0:39,29 of 129,28 of 33,21 of 25,64 of 170,13 of 16,1 of 1,Red,Lightweight,0,UFC Fight Night: Kattar vs. Emmett,Decision - Split,3,5:00
Julian Marquez,0,13 of 42,30%,13 of 42,0 of 0,---,0,0,0:00,8 of 36,0 of 1,5 of 5,13 of 36,0 of 6,0 of 0,Gregory Rodrigues,3,49 of 72,68%,50 of 74,0 of 0,---,0,0,0:52,46 of 67,3 of 5,0 of 0,33 of 49,3 of 6,13 of 17,Blue,Middleweight,0,UFC Fight Night: Kattar vs. Emmett,KO/TKO,1,3:18
Adrian Yanez,1,35 of 67,52%,36 of 68,0 of 0,---,0,0,0:04,29 of 60,6 of 7,0 of 0,29 of 60,1 of 2,5 of 5,Tony Kelley,0,20 of 49,40%,21 of 50,0 of 0,---,0,0,0:02,12 of 29,6 of 16,2 of 4,20 of 48,0 of 1,0 of 0,Red,Bantamweight,0,UFC Fight Night: Kattar vs. Emmett,KO/TKO,1,3:49
Jasmine Jasudavicius,0,31 of 101,30%,40 of 116,0 of 6,0%,0,0,3:37,12 of 72,18 of 27,1 of 2,27 of 95,4 of 6,0 of 0,Natalia Silva,0,96 of 185,51%,120 of 213,2 of 3,66%,0,0,1:07,55 of 137,18 of 24,23 of 24,85 of 169,1 of 1,10 of 15,Blue,Women's Flyweight,0,UFC Fight Night: Kattar vs. Emmett,Decision - Unanimous,3,5:00
Court McGee,0,3 of 8,37%,3 of 8,0 of 0,---,0,0,0:00,0 of 4,2 of 3,1 of 1,3 of 8,0 of 0,0 of 0,Jeremiah Wells,1,7 of 16,43%,7 of 16,0 of 0,---,0,0,0:02,7 of 16,0 of 0,0 of 0,5 of 14,0 of 0,2 of 2,Blue,Welterweight,0,UFC Fight Night: Kattar vs. Emmett,KO/TKO,1,1:34
Ricardo Ramos,1,4 of 14,28%,4 of 14,0 of 0,---,0,0,0:01,3 of 12,1 of 2,0 of 0,4 of 14,0 of 0,0 of 0,Danny Chavez,0,3 of 9,33%,3 of 9,0 of 0,---,0,0,0:00,2 of 7,0 of 0,1 of 2,3 of 8,0 of 1,0 of 0,Red,Featherweight,0,UFC Fight Night: Kattar vs. Emmett,KO/TKO,1,1:12
Maria Oliveira,0,96 of 297,32%,99 of 303,2 of 4,50%,0,0,1:35,66 of 247,12 of 23,18 of 27,94 of 294,2 of 3,0 of 0,Gloria de Paula,0,105 of 190,55%,116 of 205,2 of 3,66%,0,0,0:49,75 of 155,11 of 15,19 of 20,98 of 182,7 of 7,0 of 1,Red,Women's Strawweight,0,UFC Fight Night: Kattar vs. Emmett,Decision - Split,3,5:00
Eddie Wineland,0,3 of 7,42%,3 of 7,0 of 0,---,0,0,0:00,1 of 5,2 of 2,0 of 0,3 of 6,0 of 1,0 of 0,Cody Stamann,1,27 of 38,71%,32 of 43,0 of 0,---,0,0,0:07,23 of 34,3 of 3,1 of 1,9 of 16,12 of 16,6 of 6,Blue,Bantamweight,0,UFC Fight Night: Kattar vs. Emmett,KO/TKO,1,0:59
Phil Hawes,1,118 of 175,67%,126 of 191,1 of 3,33%,0,0,0:47,99 of 152,17 of 21,2 of 2,89 of 138,14 of 18,15 of 19,Deron Winn,0,32 of 111,28%,34 of 114,0 of 0,---,0,0,0:00,24 of 101,4 of 6,4 of 4,29 of 100,3 of 11,0 of 0,Red,Middleweight,0,UFC Fight Night: Kattar vs. Emmett,KO/TKO,2,4:25
Roman Dolidze,2,8 of 15,53%,10 of 17,0 of 0,---,0,0,0:36,8 of 14,0 of 1,0 of 0,0 of 4,3 of 3,5 of 8,Kyle Daukaus,0,4 of 9,44%,5 of 10,0 of 0,---,0,0,0:00,1 of 6,1 of 1,2 of 2,4 of 9,0 of 0,0 of 0,Red,Middleweight,0,UFC Fight Night: Kattar vs. Emmett,KO/TKO,1,1:13
Glover Teixeira,0,111 of 161,68%,159 of 212,5 of 17,29%,1,2,9:47,98 of 145,12 of 15,1 of 1,45 of 86,6 of 7,60 of 68,Jiri Prochazka,0,120 of 205,58%,157 of 245,0 of 0,---,1,4,4:29,106 of 190,12 of 13,2 of 2,76 of 142,8 of 11,36 of 52,Blue,Light Heavyweight,1,UFC 275: Teixeira vs. Prochazka,Submission,5,4:32
Valentina Shevchenko,0,77 of 139,55%,234 of 309,3 of 5,60%,1,0,4:15,46 of 100,12 of 18,19 of 21,65 of 123,7 of 10,5 of 6,Taila Santos,0,55 of 102,53%,128 of 180,3 of 3,100%,3,2,8:49,18 of 58,11 of 15,26 of 29,45 of 89,4 of 5,6 of 8,Red,Women's Flyweight,1,UFC 275: Teixeira vs. Prochazka,Decision - Split,5,5:00
Zhang Weili,1,69 of 102,67%,94 of 130,3 of 6,50%,0,0,2:49,52 of 80,12 of 15,5 of 7,29 of 59,5 of 5,35 of 38,Joanna Jedrzejczyk,0,43 of 85,50%,44 of 86,0 of 0,---,0,0,0:00,20 of 56,9 of 9,14 of 20,39 of 81,4 of 4,0 of 0,Red,Women's Strawweight,0,UFC 275: Teixeira vs. Prochazka,KO/TKO,2,2:28
Andre Fialho,0,18 of 51,35%,19 of 52,0 of 0,---,0,0,0:00,13 of 44,1 of 3,4 of 4,18 of 49,0 of 0,0 of 2,Jake Matthews,1,47 of 89,52%,47 of 89,0 of 0,---,0,0,0:00,35 of 75,4 of 4,8 of 10,44 of 86,1 of 1,2 of 2,Blue,Welterweight,0,UFC 275: Teixeira vs. Prochazka,KO/TKO,2,2:24
Jack Della Maddalena,1,18 of 36,50%,18 of 36,0 of 0,---,0,0,0:03,11 of 26,7 of 10,0 of 0,11 of 29,3 of 3,4 of 4,Ramazan Emeev,0,7 of 24,29%,7 of 24,1 of 2,50%,1,0,0:25,6 of 22,1 of 2,0 of 0,7 of 24,0 of 0,0 of 0,Red,Welterweight,0,UFC 275: Teixeira vs. Prochazka,KO/TKO,1,2:32
SeungWoo Choi,0,46 of 163,28%,64 of 184,1 of 2,50%,0,0,2:30,29 of 137,6 of 14,11 of 12,39 of 147,4 of 10,3 of 6,Josh Culibao,2,51 of 111,45%,69 of 132,0 of 0,---,0,0,0:58,40 of 97,7 of 9,4 of 5,40 of 95,6 of 8,5 of 8,Blue,Featherweight,0,UFC 275: Teixeira vs. Prochazka,Decision - Split,3,5:00
