First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,Link,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1,0,http://ufcstats.com/fighter-details/16690d100f995f8f,2.97,34%,2.84,55%,2.58,2.58,45%,65%,0.2
Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0,0,http://ufcstats.com/fighter-details/b0550072e5f0afa7,3.10,41%,3.62,57%,2.29,2.29,67%,92%,1.0
Rostem,Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0,0,http://ufcstats.com/fighter-details/1fc64507a0cb38cf,1.80,25%,3.97,57%,1.00,1.00,40%,87%,0.0
Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0,0,http://ufcstats.com/fighter-details/38b50fd1e1b5b656,3.27,39%,3.14,60%,0.65,0.65,14%,57%,0.0
Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,0,http://ufcstats.com/fighter-details/1cf1310684a841f5,1.36,19%,3.61,53%,0.00,0.00,0%,0%,0.0
Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0,0,http://ufcstats.com/fighter-details/7578cc6bd750206b,3.84,65%,6.66,23%,2.06,2.06,50%,42%,0.0
Javi,Alanis,,"5' 6""",135 lbs.,--,,0,4,0,0,http://ufcstats.com/fighter-details/2144954270be834d,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
,Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",Orthodox,15,8,2,0,http://ufcstats.com/fighter-details/1897b7b913736a7c,2.86,33%,5.07,58%,1.73,1.73,33%,72%,0.0
Amir,Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",Orthodox,14,1,0,0,http://ufcstats.com/fighter-details/6d35bf94f7d30241,4.06,40%,3.15,58%,2.28,2.28,75%,66%,0.8
Brett,Albee,,--,225 lbs.,--,,3,2,0,0,http://ufcstats.com/fighter-details/9b28292abe3166d5,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",Orthodox,6,5,0,0,http://ufcstats.com/fighter-details/7bd94b60d7521e4a,3.05,49%,2.82,35%,0.00,0.00,0%,50%,6.1
Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0,0,http://ufcstats.com/fighter-details/c482c8605455a213,3.98,51%,6.08,52%,1.54,1.54,37%,100%,0.0
Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0,0,http://ufcstats.com/fighter-details/184b955181bdef52,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Aleksandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0,0,http://ufcstats.com/fighter-details/e76d9f656ceb82ab,4.83,47%,5.56,38%,2.27,2.27,50%,77%,0.4
Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0,0,http://ufcstats.com/fighter-details/dd1b90eea08887f6,0.32,13%,3.34,25%,0.00,0.00,0%,0%,0.0
Juan,Alcain,,--,--,--,,1,2,0,0,http://ufcstats.com/fighter-details/39f62b833e4cf126,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0,0,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad,2.72,45%,2.79,49%,1.44,1.44,62%,60%,0.8
Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0,0,http://ufcstats.com/fighter-details/7c6e87729e824ef4,1.93,38%,2.63,50%,2.00,2.00,68%,81%,0.9
Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1,3,1,0,http://ufcstats.com/fighter-details/1e38bba6738b7b10,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0,0,http://ufcstats.com/fighter-details/d26934530dc5b248,2.91,54%,6.26,26%,2.57,2.57,40%,33%,0.0
Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,13,6,0,0,http://ufcstats.com/fighter-details/578ef12674df1e6a,5.61,39%,5.94,60%,0.22,0.22,50%,84%,0.1
Hector,Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0,0,http://ufcstats.com/fighter-details/c487223b0289bda9,3.59,38%,5.08,59%,0.93,0.93,100%,0%,0.0
Jose,Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1,0,http://ufcstats.com/fighter-details/7460ddef986d3144,3.13,44%,3.13,58%,0.00,0.00,0%,57%,0.0
Jose,Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,31,7,0,0,http://ufcstats.com/fighter-details/d0f3959b4a9747e6,3.61,46%,3.74,60%,0.51,0.51,54%,90%,0.2
JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,11,5,0,0,http://ufcstats.com/fighter-details/6fd953151d981979,4.05,45%,4.54,60%,0.90,0.90,37%,75%,0.0
Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,0,http://ufcstats.com/fighter-details/fe5a9547479396ab,2.90,40%,4.38,56%,2.26,2.26,41%,80%,0.3
John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0,0,http://ufcstats.com/fighter-details/7a15f3694c5cbc02,2.10,39%,2.91,54%,1.85,1.85,38%,70%,1.2
Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1,0,http://ufcstats.com/fighter-details/0541480fbf719d86,3.06,54%,3.20,52%,1.19,1.19,57%,33%,0.0
Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0,0,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2,0.88,19%,2.20,66%,4.71,4.71,26%,0%,0.0
Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,0,http://ufcstats.com/fighter-details/d53482bef23235ba,1.61,45%,2.89,42%,0.35,0.35,20%,66%,0.7
Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0,0,http://ufcstats.com/fighter-details/b757c73f443d4fca,1.65,38%,4.77,53%,0.37,0.37,7%,22%,0.7
Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0,0,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Levi,Alford,,--,--,--,,1,7,0,0,http://ufcstats.com/fighter-details/41b34b7f11f6d085,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,16,6,0,0,http://ufcstats.com/fighter-details/9abc648e76c4493a,5.73,54%,4.18,43%,0.92,0.92,50%,54%,0.0
Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,0,http://ufcstats.com/fighter-details/669a3cb6e394f515,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,0,http://ufcstats.com/fighter-details/e17770faae3ca54c,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,0,http://ufcstats.com/fighter-details/e70de1859b7ee78e,1.41,45%,2.20,56%,1.76,1.76,38%,100%,0.0
Ikram,Aliskerov,,"6' 0""",185 lbs.,--,,12,1,0,0,http://ufcstats.com/fighter-details/b07aed698fba8624,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Leon,Aliu,,"6' 0""",185 lbs.,--,,10,1,0,0,http://ufcstats.com/fighter-details/6db394bf6c3b017c,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
John,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0,0,http://ufcstats.com/fighter-details/6ebe96a116e79e52,3.56,42%,5.74,52%,1.40,1.40,71%,50%,0.8
George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,0,http://ufcstats.com/fighter-details/1e13936d708bcff7,0.80,38%,3.10,43%,0.00,0.00,0%,50%,0.0
Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,18,1,0,0,http://ufcstats.com/fighter-details/040a74bb0a465c54,3.31,42%,2.22,66%,1.41,1.41,50%,76%,0.4
Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,19,5,0,0,http://ufcstats.com/fighter-details/2f181c0467965b98,4.15,55%,4.18,44%,1.20,1.20,41%,50%,1.4
Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0,0,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,1.28,49%,1.90,59%,0.62,0.62,50%,26%,0.0
Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,0,http://ufcstats.com/fighter-details/91186547a7f3f758,2.02,49%,1.20,61%,3.74,3.74,38%,31%,1.2
Magno,Almeida,,"6' 0""",155 lbs.,--,,10,3,0,0,http://ufcstats.com/fighter-details/d615d6a10a4704cd,1.67,36%,2.60,41%,0.00,0.00,0%,40%,5.0
Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0,0,http://ufcstats.com/fighter-details/2b074403b7c6cdb4,4.84,43%,4.93,61%,0.17,0.17,14%,75%,0.0
Ericka,Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0,0,http://ufcstats.com/fighter-details/67a992d4cff22466,1.07,39%,3.33,43%,0.50,0.50,33%,37%,0.0
Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0,0,http://ufcstats.com/fighter-details/f16ddfa31236efed,3.13,37%,6.07,42%,0.00,0.00,0%,0%,0.0
Jailton,Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,16,2,0,0,http://ufcstats.com/fighter-details/41e83a89929d1327,3.48,53%,0.49,12%,6.27,6.27,66%,50%,2.1
Lucas,Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,13,1,0,0,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41,6.60,47%,5.63,48%,0.00,0.00,0%,50%,0.0
Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13,7,0,0,http://ufcstats.com/fighter-details/c6bf75775b278ed8,5.74,34%,1.91,67%,0.00,0.00,0%,0%,0.0
Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",Southpaw,9,6,0,0,http://ufcstats.com/fighter-details/49b130de1da2e1bf,2.36,44%,6.06,38%,1.61,1.61,26%,20%,0.4
Ali,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",Orthodox,8,5,0,0,http://ufcstats.com/fighter-details/e87a13e02c01331d,2.43,42%,1.97,56%,3.50,3.50,29%,60%,1.0
Rico,Altamirano,,"5' 10""",170 lbs.,--,,4,3,0,0,http://ufcstats.com/fighter-details/c61b49cec6abd6b9,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",Switch,10,2,0,0,http://ufcstats.com/fighter-details/dc7927cd622676a7,5.97,57%,5.23,50%,2.50,2.50,41%,72%,0.0
Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,0,http://ufcstats.com/fighter-details/c11036da9162cb5f,1.56,20%,2.08,75%,0.00,0.00,0%,0%,0.0
Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,0,http://ufcstats.com/fighter-details/e741536153227386,0.89,37%,3.25,47%,0.00,0.00,0%,0%,0.0
Eddie,Alvarez,,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0,0,http://ufcstats.com/fighter-details/33a331684283900f,4.32,41%,4.39,55%,2.92,2.92,36%,92%,0.5
Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0,0,http://ufcstats.com/fighter-details/4438482bd1d5a029,2.73,40%,4.53,56%,1.00,1.00,33%,50%,0.0
Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,19,3,0,0,http://ufcstats.com/fighter-details/58bbef3770bb2dfc,3.44,44%,3.68,49%,0.00,0.00,0%,0%,1.2
Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,23,15,0,0,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,3.73,41%,3.42,62%,0.71,0.71,60%,63%,0.3
Anthony,Alves,,--,--,--,,1,4,0,0,http://ufcstats.com/fighter-details/bd92cf5da5413d2a,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,15,12,0,0,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc,0.50,46%,2.02,30%,0.00,0.00,0%,53%,0.0
Warlley,Alves,,"5' 11""",170 lbs.,"72.0""",Orthodox,15,5,0,0,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f,3.07,48%,3.63,51%,1.42,1.42,52%,78%,1.1
Rafael,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",Orthodox,20,10,0,0,http://ufcstats.com/fighter-details/029afd138865d20a,2.10,47%,3.56,58%,0.00,0.00,0%,60%,1.8
