First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,Link,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
Brian,Camozzi,Mantis,"6' 2""",170 lbs.,"78.0""",Orthodox,7,5,0,0,http://ufcstats.com/fighter-details/1999ffb5cebc314f,3.15,26%,6.39,54%,0.00,0.00,0%,0%,0.7
Ricky,Camp,2 Slick,"5' 7""",135 lbs.,--,,11,4,0,0,http://ufcstats.com/fighter-details/4a99978a0366bb29,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Mike,Campbell,The Beast,"5' 9""",155 lbs.,--,Southpaw,13,4,0,0,http://ufcstats.com/fighter-details/f5585e675af7afd4,1.40,26%,1.40,63%,5.26,5.26,100%,0%,0.0
Thomas,Campbell,,--,--,--,,3,3,0,0,http://ufcstats.com/fighter-details/d060014a5a039829,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Shane,Campbell,Shaolin,"6' 0""",155 lbs.,"71.0""",Orthodox,14,6,0,0,http://ufcstats.com/fighter-details/784285b7ae7dd85f,3.99,59%,3.19,55%,1.36,1.36,28%,82%,0.0
Charlie,Campbell,The Cannibal,--,155 lbs.,--,,6,1,0,0,http://ufcstats.com/fighter-details/b39f7a6c2be17ee8,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
John,Campetella,,"5' 9""",235 lbs.,--,Orthodox,0,1,0,0,http://ufcstats.com/fighter-details/31bbd46d57dfbcb7,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Wagner,Campos,Galeto,"5' 6""",145 lbs.,--,Southpaw,12,10,0,0,http://ufcstats.com/fighter-details/db6d5f691aea3fd3,1.54,41%,2.53,51%,2.71,2.71,100%,0%,0.0
Derek,Campos,The Stallion,"5' 9""",155 lbs.,--,,19,6,0,0,http://ufcstats.com/fighter-details/aa8dc72b3a1f761c,2.41,23%,10.34,44%,0.00,0.00,0%,0%,0.0
Will,Campuzano,,"5' 9""",125 lbs.,"70.0""",Orthodox,14,6,0,0,http://ufcstats.com/fighter-details/901cddcbfa079097,2.43,31%,3.82,57%,0.88,0.88,45%,48%,0.2
Aleksa,Camur,,"6' 1""",205 lbs.,"74.0""",Orthodox,6,2,0,0,http://ufcstats.com/fighter-details/c2a670b22d2e196f,4.78,59%,3.15,60%,0.59,0.59,25%,50%,0.0
Chico,Camus,The King,"5' 6""",125 lbs.,"66.0""",Orthodox,17,7,0,0,http://ufcstats.com/fighter-details/32be4b7f7de1c905,2.58,41%,2.46,64%,0.77,0.77,40%,72%,0.4
Asbel,Cancio,,"5' 10""",225 lbs.,--,,0,1,0,0,http://ufcstats.com/fighter-details/2a7afe14b3a0a058,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Carlos,Candelario,The Cannon,"5' 8""",125 lbs.,"68.0""",Southpaw,8,2,0,0,http://ufcstats.com/fighter-details/760a55d5b6098cbe,3.11,46%,4.04,42%,2.33,2.33,33%,53%,0.3
Ronaldo,Candido,Pacman,"5' 6""",125 lbs.,--,Southpaw,6,0,0,0,http://ufcstats.com/fighter-details/23fbe02caabcd214,1.67,42%,3.87,52%,8.00,8.00,53%,0%,5.0
Luiz,Cane,Banha,"6' 2""",185 lbs.,"77.0""",Southpaw,17,7,0,0,http://ufcstats.com/fighter-details/24b033b3daf1c9df,4.79,41%,5.00,60%,0.56,0.56,28%,100%,0.3
Guido,Cannetti,Ninja,"5' 6""",135 lbs.,"68.0""",Southpaw,9,7,0,0,http://ufcstats.com/fighter-details/d05412b513b19621,3.52,55%,2.94,51%,1.98,1.98,50%,70%,0.2
Jared,Cannonier,The Killa Gorilla,"5' 11""",185 lbs.,"77.0""",Switch,15,6,0,0,http://ufcstats.com/fighter-details/13a0275fa13c4d26,3.73,51%,3.50,61%,0.19,0.19,25%,65%,0.0
Jose,Canseco,,"6' 4""",240 lbs.,--,Orthodox,0,1,0,0,http://ufcstats.com/fighter-details/03da33a102d9a45f,0.78,10%,4.68,62%,0.00,0.00,0%,0%,0.0
Cody,Canterbury,,"5' 8""",155 lbs.,--,,1,10,0,0,http://ufcstats.com/fighter-details/23100e8f71f25a4a,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Bo,Cantrell,Redrum,"6' 2""",235 lbs.,--,Orthodox,10,10,0,0,http://ufcstats.com/fighter-details/6750e338922a099d,3.16,16%,12.63,0%,0.00,0.00,0%,0%,0.0
Steve,Cantwell,The Robot,"6' 2""",185 lbs.,"75.0""",Orthodox,7,6,0,0,http://ufcstats.com/fighter-details/f1f9e48a0d150757,3.63,34%,5.76,55%,0.65,0.65,30%,80%,0.7
Paul,Capaldo,,"5' 7""",135 lbs.,--,,6,0,0,0,http://ufcstats.com/fighter-details/83b8fe74224dd642,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Phil,Caracappa,The Hitman,"5' 8""",135 lbs.,"70.0""",Orthodox,6,1,0,0,http://ufcstats.com/fighter-details/bd81a97864acf098,2.93,50%,4.07,29%,1.00,1.00,8%,100%,1.0
Frank,Caracci,,--,--,--,,2,3,0,0,http://ufcstats.com/fighter-details/44f9c777fed7ca03,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Gina,Carano,Conviction,"5' 8""",145 lbs.,--,Orthodox,7,1,0,0,http://ufcstats.com/fighter-details/899eaba48fa864a6,4.50,47%,2.66,64%,1.24,1.24,66%,85%,1.6
Dos,Caras Jr.,,"6' 4""",225 lbs.,--,Orthodox,9,5,0,0,http://ufcstats.com/fighter-details/155a02a8b4311057,0.77,23%,1.20,59%,0.00,0.00,0%,72%,0.0
Bryan,Caraway,Kid Lightning,"5' 8""",135 lbs.,"68.0""",Orthodox,21,9,0,0,http://ufcstats.com/fighter-details/5ef0088c1b19beeb,2.53,34%,3.61,54%,2.57,2.57,25%,80%,0.8
Remo,Cardarelli,,--,135 lbs.,--,,7,5,0,0,http://ufcstats.com/fighter-details/e5512a6aed150d8f,2.27,47%,1.47,59%,0.00,0.00,0%,100%,0.0
Phil,Cardella,,"5' 11""",155 lbs.,--,,8,5,0,0,http://ufcstats.com/fighter-details/f6a7b02c42e9fc5b,2.47,50%,2.00,57%,0.00,0.00,0%,11%,2.5
Edgar,Cardenas,Kitty Katt,--,145 lbs.,--,,4,1,0,0,http://ufcstats.com/fighter-details/99a86b134dccc166,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Chris,Cariaso,Kamikaze,"5' 3""",125 lbs.,"64.0""",Southpaw,17,8,0,0,http://ufcstats.com/fighter-details/b2e3aca4cd363477,3.35,43%,2.23,61%,1.11,1.11,39%,57%,0.8
Ronald,Carillo,,--,125 lbs.,--,,4,2,0,0,http://ufcstats.com/fighter-details/cbd022eaf2ac546a,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Rafael,Carino,,"6' 8""",245 lbs.,--,Orthodox,2,1,1,0,http://ufcstats.com/fighter-details/08a7080ff5904661,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Don,Carlo-Clauss,,--,170 lbs.,--,,10,7,0,0,http://ufcstats.com/fighter-details/f59a6de8a5dfe297,1.44,30%,7.68,43%,0.00,0.00,0%,66%,0.0
Antonio,Carlos Junior,Cara de Sapato,"6' 2""",185 lbs.,"79.0""",Orthodox,11,5,0,0,http://ufcstats.com/fighter-details/52e76bb4b3e852f3,1.95,42%,2.14,52%,3.42,3.42,39%,53%,0.8
Spike,Carlyle,Alpha Ginger,"5' 8""",145 lbs.,"71.0""",Switch,9,3,0,0,http://ufcstats.com/fighter-details/be68b375707dcb85,2.55,54%,3.85,30%,3.34,3.34,36%,57%,0.5
Francis,Carmont,Limitless,"6' 3""",205 lbs.,"78.0""",Orthodox,25,12,0,0,http://ufcstats.com/fighter-details/3591d0d5d382a381,2.22,42%,1.64,59%,1.79,1.79,36%,73%,0.6
Liz,Carmouche,Girlrilla,"5' 6""",125 lbs.,"66.0""",Orthodox,13,7,0,0,http://ufcstats.com/fighter-details/51a0c09cbe9b8472,2.78,54%,2.51,61%,2.57,2.57,51%,65%,0.3
Roan,Carneiro,Jucao,"5' 11""",170 lbs.,"76.0""",Orthodox,21,11,0,0,http://ufcstats.com/fighter-details/1c86754617d9813a,1.46,46%,1.82,62%,3.05,3.05,42%,83%,1.4
Ariane,Carnelossi,Sorriso,"5' 2""",115 lbs.,"61.0""",Orthodox,14,3,0,0,http://ufcstats.com/fighter-details/c0d5c0c95c59050b,3.04,40%,4.72,43%,1.62,1.62,55%,8%,0.3
Luana,Carolina,Dread,"5' 6""",125 lbs.,"69.0""",Orthodox,8,3,0,0,http://ufcstats.com/fighter-details/528b071cf3da7c56,4.64,50%,3.55,47%,0.00,0.00,0%,82%,1.0
Tim,Caron,The Bear,"6' 1""",185 lbs.,--,Orthodox,7,1,0,0,http://ufcstats.com/fighter-details/b80ea4880f25c187,0.59,50%,6.90,12%,0.00,0.00,0%,0%,0.0
Clayton,Carpenter,,--,125 lbs.,--,,5,0,0,0,http://ufcstats.com/fighter-details/b62d5280966b2460,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Gabriel,Carrasco,,"5' 6""",135 lbs.,--,,7,0,0,0,http://ufcstats.com/fighter-details/89ed44801968b8e3,4.15,37%,1.53,80%,0.00,0.00,0%,100%,0.0
Cody,Carrillo,,"5' 10""",155 lbs.,--,,11,16,0,0,http://ufcstats.com/fighter-details/9346efb4bbaedd08,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Cain,Carrizosa,The Insane,"5' 8""",155 lbs.,--,Orthodox,10,3,0,0,http://ufcstats.com/fighter-details/064b7dc68d786254,2.72,42%,5.80,51%,0.00,0.00,0%,14%,0.0
Roger,Carroll,The Leprechaun,"5' 10""",170 lbs.,--,,16,14,0,0,http://ufcstats.com/fighter-details/572a89dbe1f76761,7.62,61%,10.48,43%,0.00,0.00,0%,100%,0.0
Jonny,Carson,,"5' 10""",155 lbs.,--,,11,7,0,0,http://ufcstats.com/fighter-details/0d49ddc07bd8c747,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Scott,Carson,,"6' 2""",215 lbs.,--,,4,2,0,0,http://ufcstats.com/fighter-details/1e3302f9ab6f549a,0.62,66%,6.22,23%,0.00,0.00,0%,0%,0.0
Shonie,Carter,Mr. International,"5' 10""",170 lbs.,--,Southpaw,51,31,7,0,http://ufcstats.com/fighter-details/7b6e40a73b567072,1.62,36%,2.32,47%,0.75,0.75,66%,75%,0.0
Jack,Cartwright,,--,135 lbs.,--,,10,0,0,0,http://ufcstats.com/fighter-details/1f592bfefb0d62a3,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Bruno,Carvalho,,"5' 8""",154 lbs.,--,,10,5,0,0,http://ufcstats.com/fighter-details/456c02115efc4a01,0.60,45%,0.93,53%,0.00,0.00,0%,66%,4.0
Antonio,Carvalho,Pato,"5' 9""",145 lbs.,"70.0""",Orthodox,15,6,0,0,http://ufcstats.com/fighter-details/fef3d17e27e916e7,3.03,29%,3.62,64%,0.00,0.00,0%,100%,0.0
Rafael,Carvalho,,"6' 3""",185 lbs.,--,,14,1,0,0,http://ufcstats.com/fighter-details/620d8710e89cfeae,1.94,50%,1.84,54%,2.77,2.77,40%,70%,0.0
Shane,Carwin,The Engineer,"6' 2""",265 lbs.,"80.0""",Orthodox,12,2,0,0,http://ufcstats.com/fighter-details/68dd7b3783c19f9c,4.38,47%,3.53,53%,1.42,1.42,33%,42%,0.0
Johnny,Case,Hollywood,"5' 10""",155 lbs.,"72.0""",Orthodox,22,6,0,0,http://ufcstats.com/fighter-details/1f4b04a926ef1287,3.95,38%,2.66,61%,1.70,1.70,45%,72%,0.2
Kevin,Casey,King,"5' 11""",185 lbs.,"77.0""",Southpaw,9,5,2,0,http://ufcstats.com/fighter-details/8d9586726252dbf7,2.27,53%,3.76,46%,0.79,0.79,22%,27%,0.4
Cortney,Casey,Cast Iron,"5' 7""",125 lbs.,"67.0""",Orthodox,10,10,0,0,http://ufcstats.com/fighter-details/5f179af5fffeb9f6,4.29,39%,4.00,55%,0.39,0.39,31%,39%,0.5
Brandon,Cash,Money,"6' 5""",255 lbs.,--,Orthodox,10,4,0,0,http://ufcstats.com/fighter-details/3993f7dcb7caf42a,5.42,72%,0.68,33%,10.17,10.17,66%,0%,0.0
Bendy,Casimir,,"5' 5""",145 lbs.,--,Southpaw,20,14,2,0,http://ufcstats.com/fighter-details/ec7ac09293d26c05,0.74,27%,3.42,54%,0.00,0.00,0%,100%,0.0
Dwayne,Cason,,"5' 10""",212 lbs.,--,Orthodox,1,1,0,0,http://ufcstats.com/fighter-details/31c01fbc2586a5eb,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Joe,Cason,,"6' 3""",205 lbs.,--,,9,1,0,0,http://ufcstats.com/fighter-details/2b1c6f28039efe36,4.17,55%,10.83,23%,0.00,0.00,0%,0%,0.0
John,Castaneda,Sexy Mexi,"5' 6""",135 lbs.,"71.0""",Switch,19,5,0,0,http://ufcstats.com/fighter-details/5fa2974cbd18e05c,4.38,46%,4.53,56%,0.65,0.65,22%,63%,0.3
Eric,Castile,,"5' 8""",145 lbs.,--,,3,2,0,0,http://ufcstats.com/fighter-details/a0a69dc9914ef6e1,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Gil,Castillo,,"5' 9""",170 lbs.,--,Southpaw,8,5,0,0,http://ufcstats.com/fighter-details/31ceaf0e670c1578,0.60,45%,2.22,44%,3.33,3.33,45%,50%,0.0
Danny,Castillo,Last Call,"5' 9""",155 lbs.,"71.0""",Orthodox,17,10,0,0,http://ufcstats.com/fighter-details/d1e7fc58d4225cdf,2.57,42%,1.96,62%,2.95,2.95,38%,63%,0.2
Raul,Castillo,,"5' 11""",185 lbs.,--,Orthodox,7,1,0,0,http://ufcstats.com/fighter-details/feeae92f951f49a9,1.47,48%,3.27,60%,0.00,0.00,0%,0%,0.0
Jenna,Castillo,,"5' 2""",125 lbs.,--,,1,0,0,0,http://ufcstats.com/fighter-details/e680418329c84ec4,3.24,56%,2.01,57%,1.68,1.68,100%,100%,0.0
Tim,Catalfo,Obake,"5' 11""",235 lbs.,--,Orthodox,4,2,0,0,http://ufcstats.com/fighter-details/6ca68b636fbc1f18,0.39,100%,0.77,33%,0.00,0.00,0%,0%,0.0
Nick,Catone,The Jersey Devil,"6' 0""",185 lbs.,"72.0""",Southpaw,10,4,0,0,http://ufcstats.com/fighter-details/f8fe2053d73d7bcf,2.11,44%,2.32,63%,3.71,3.71,44%,83%,0.5
Luke,Caudillo,Lil' Hulk,"5' 7""",155 lbs.,--,Orthodox,17,17,0,0,http://ufcstats.com/fighter-details/68d76fd9ecf7431d,1.97,28%,5.07,55%,0.44,0.44,20%,85%,0.0
Gesias,Cavalcante,JZ,"5' 8""",155 lbs.,"71.0""",Orthodox,21,10,1,0,http://ufcstats.com/fighter-details/2a74bbba57058f12,1.98,35%,3.11,51%,1.25,1.25,36%,66%,1.1
Rafael,Cavalcante,Feijao,"6' 1""",205 lbs.,"74.0""",Orthodox,12,7,0,0,http://ufcstats.com/fighter-details/5c1ca0c72b599a3c,2.71,53%,3.62,49%,0.60,0.60,40%,63%,0.1
Magnus,Cedenblad,Jycken,"6' 5""",185 lbs.,"79.0""",Orthodox,14,5,0,0,http://ufcstats.com/fighter-details/0e21976afc92e4d1,2.38,51%,3.02,40%,2.87,2.87,64%,66%,1.0
Yosdenis,Cedeno,Pink Panther,"5' 8""",155 lbs.,"69.0""",Orthodox,10,6,1,0,http://ufcstats.com/fighter-details/3e61082025db8137,1.64,29%,1.60,67%,0.00,0.00,0%,31%,0.3
Henry,Cejudo,The Messenger,"5' 4""",135 lbs.,"64.0""",Orthodox,16,2,0,0,http://ufcstats.com/fighter-details/056c493bbd76a918,3.92,45%,2.77,65%,2.12,2.12,33%,93%,0.2
Adam,Cella,El Naturel,"6' 2""",170 lbs.,--,,6,8,0,0,http://ufcstats.com/fighter-details/b27b8881d7444114,1.91,42%,2.61,51%,3.92,3.92,75%,50%,1.3
Donald,Cerrone,Cowboy,"6' 1""",155 lbs.,"73.0""",Orthodox,36,17,0,0,http://ufcstats.com/fighter-details/1d00756835ca67c9,4.41,46%,4.48,53%,1.16,1.16,33%,73%,1.2
Jared,Chaffee,,"5' 10""",155 lbs.,--,,5,2,0,0,http://ufcstats.com/fighter-details/fdf59144e535bc38,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Luan,Chagas,Tarzan,"6' 0""",170 lbs.,"75.0""",Orthodox,15,3,1,0,http://ufcstats.com/fighter-details/9ccf8371fd80d45d,4.16,47%,3.19,62%,0.32,0.32,12%,85%,0.3
Edgar,Chairez,Pitbull,"5' 7""",135 lbs.,--,,7,3,0,0,http://ufcstats.com/fighter-details/5ef94841c4bc3f86,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Ansar,Chalangov,,"5' 9""",170 lbs.,--,Orthodox,14,5,0,0,http://ufcstats.com/fighter-details/7342fcc41a4817fa,0.68,66%,1.69,54%,0.00,0.00,0%,0%,7.6
Alex,Chambers,Astro Girl,"5' 3""",115 lbs.,"63.0""",Southpaw,5,5,0,0,http://ufcstats.com/fighter-details/26b63bc5c0c1f65d,2.97,54%,5.10,50%,2.31,2.31,41%,53%,1.0
Michael,Chandler,Iron,"5' 8""",155 lbs.,"71.0""",Orthodox,23,7,0,0,http://ufcstats.com/fighter-details/4b93a88f3b1de35b,5.17,46%,4.87,45%,1.83,1.83,36%,71%,1.1
Chelsea,Chandler,,--,145 lbs.,--,,4,1,0,0,http://ufcstats.com/fighter-details/af9efbfd63d39734,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Donnie,Chappell,,"5' 11""",178 lbs.,--,Southpaw,0,1,0,0,http://ufcstats.com/fighter-details/8788beb528894f33,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Joe,Charles,The Ghetto Man,"6' 1""",260 lbs.,--,Southpaw,6,13,0,0,http://ufcstats.com/fighter-details/19ffeb5e3fffd6d5,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Dan,Charles,The Man,"6' 2""",228 lbs.,--,,10,6,1,0,http://ufcstats.com/fighter-details/32a4f1235f0dad73,2.82,45%,3.51,44%,0.00,0.00,0%,31%,0.0
Ernest,Chavez,EJ,"5' 8""",145 lbs.,"70.0""",Orthodox,10,2,0,0,http://ufcstats.com/fighter-details/b406da701c479076,2.79,40%,3.89,59%,0.89,0.89,33%,50%,0.0
Emilio,Chavez,,"5' 9""",145 lbs.,--,,12,9,0,0,http://ufcstats.com/fighter-details/84e8920e59ff14a7,2.73,48%,1.53,54%,3.00,3.00,50%,0%,0.0
Danny,Chavez,The Colombian Warrior,"5' 8""",145 lbs.,"67.0""",Orthodox,11,5,1,0,http://ufcstats.com/fighter-details/0de720c0f1d4ab9c,2.86,38%,3.83,50%,1.95,1.95,60%,87%,0.0
Gabriel,Checco,Zangief,"6' 1""",185 lbs.,--,Switch,10,2,0,0,http://ufcstats.com/fighter-details/9c5f7d5c6d084b35,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Albert,Cheng,,"5' 11""",170 lbs.,--,Orthodox,7,4,0,0,http://ufcstats.com/fighter-details/d8d7b24d276c8cb0,1.00,41%,2.60,71%,0.00,0.00,0%,0%,0.0
Fabio,Cherant,Water Buffalo,"6' 1""",205 lbs.,"74.0""",Southpaw,7,4,0,0,http://ufcstats.com/fighter-details/78a68f1dade6aaf7,1.35,40%,4.89,38%,0.00,0.00,0%,0%,0.0
Ion,Cherdivara,,--,205 lbs.,--,,1,1,0,0,http://ufcstats.com/fighter-details/c713a845360d604b,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Mark,Cherico,The Pride of Bloomfield,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0,0,http://ufcstats.com/fighter-details/79a193111e3bc99b,3.69,34%,7.37,56%,5.03,5.03,50%,0%,0.0
Macy,Chiasson,,"5' 11""",145 lbs.,"72.0""",Orthodox,9,2,0,0,http://ufcstats.com/fighter-details/9cdd2da1a9104a0b,3.70,45%,2.56,46%,1.95,1.95,33%,64%,0.4
Michael,Chiesa,Maverick,"6' 1""",170 lbs.,"75.0""",Southpaw,18,6,0,0,http://ufcstats.com/fighter-details/c58f51dedb310998,1.88,41%,1.67,54%,3.39,3.39,54%,60%,1.0
Giga,Chikadze,Ninja,"6' 0""",145 lbs.,"74.0""",Orthodox,14,3,0,0,http://ufcstats.com/fighter-details/9560ff14eb3129f7,4.05,42%,3.35,62%,0.26,0.26,33%,69%,0.3
Khamzat,Chimaev,Borz,"6' 2""",170 lbs.,"75.0""",Orthodox,11,0,0,0,http://ufcstats.com/fighter-details/767755fd74662dbf,7.89,59%,4.30,41%,3.23,3.23,66%,100%,2.7
Sako,Chivitchian,,"5' 11""",155 lbs.,--,,8,1,0,0,http://ufcstats.com/fighter-details/9f7787e56a6bc0f4,2.40,27%,4.80,46%,0.00,0.00,0%,100%,0.0
Mu Bae,Choi,,"6' 2""",230 lbs.,--,Orthodox,12,6,0,0,http://ufcstats.com/fighter-details/371a1c91b24dec2b,1.55,49%,3.65,44%,3.12,3.12,75%,60%,1.0
Hong Man,Choi,Techno Goliath,"7' 2""",330 lbs.,--,Orthodox,4,5,0,0,http://ufcstats.com/fighter-details/2c104b7e59a72629,1.32,26%,1.46,36%,0.71,0.71,100%,84%,0.0
Dooho,Choi,The Korean Superboy,"5' 10""",145 lbs.,"70.0""",Orthodox,14,4,0,0,http://ufcstats.com/fighter-details/e93b04e308913c2e,5.32,51%,6.38,53%,0.41,0.41,20%,50%,0.0
SeungWoo,Choi,Sting,"6' 0""",145 lbs.,"74.0""",Orthodox,10,5,0,0,http://ufcstats.com/fighter-details/a68575214ecad140,3.32,37%,3.00,45%,0.90,0.90,55%,66%,0.0
SeungGuk,Choi,,"5' 6""",125 lbs.,"64.0""",Orthodox,5,1,0,0,http://ufcstats.com/fighter-details/adccbc19b22e19af,3.53,51%,2.20,57%,0.00,0.00,0%,88%,0.0
John,Cholish,,"5' 11""",155 lbs.,"74.0""",Orthodox,8,3,0,0,http://ufcstats.com/fighter-details/03c9994c5b8958ec,2.65,49%,2.29,73%,1.82,1.82,31%,78%,0.4
Ryo,Chonan,Piranah,"5' 9""",170 lbs.,"70.0""",Orthodox,22,13,0,0,http://ufcstats.com/fighter-details/55a7b2d4e54ffac9,2.57,43%,2.25,60%,0.61,0.61,41%,39%,0.3
Katlyn,Chookagian,Blonde Fighter,"5' 9""",125 lbs.,"68.0""",Orthodox,18,4,0,0,http://ufcstats.com/fighter-details/e872e9a9a902c045,4.56,35%,4.26,63%,0.28,0.28,15%,54%,0.4
Will,Chope,The Kill,"6' 4""",145 lbs.,--,Switch,34,13,0,0,http://ufcstats.com/fighter-details/db5dc7cb80d7d418,4.43,27%,9.93,46%,0.00,0.00,0%,0%,0.0
Joachim,Christensen,,"6' 3""",205 lbs.,"76.0""",Orthodox,14,6,0,0,http://ufcstats.com/fighter-details/2d447cc91bdaa545,3.78,41%,3.29,46%,0.00,0.00,0%,0%,0.0
Dan,Christison,The Sandman,"6' 8""",265 lbs.,--,Orthodox,20,7,0,0,http://ufcstats.com/fighter-details/b369533a577fa97c,4.23,51%,3.88,54%,0.00,0.00,0%,37%,1.1
Anthony,Christodoulou,,"5' 9""",155 lbs.,--,Orthodox,12,7,0,0,http://ufcstats.com/fighter-details/4f11e9ce318ffbcb,2.19,26%,5.90,45%,0.00,0.00,0%,40%,0.0
Murad,Chunkaiev,,"5' 11""",185 lbs.,--,Orthodox,8,4,0,0,http://ufcstats.com/fighter-details/d4a12dfa4067742f,0.85,16%,3.41,66%,8.53,8.53,100%,0%,0.0
Cameron,Church,,"5' 11""",155 lbs.,"72.0""",Orthodox,4,1,0,0,http://ufcstats.com/fighter-details/f197ce0cbe69996d,4.00,40%,4.93,50%,0.00,0.00,0%,60%,1.0
Steven,Ciaccio,Stryker,"6' 0""",170 lbs.,--,,4,4,0,0,http://ufcstats.com/fighter-details/eaebaa6801338ea1,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Mike,Ciesnolevicz,,"6' 0""",235 lbs.,--,Orthodox,19,4,0,0,http://ufcstats.com/fighter-details/51b0bb73a1da34bc,0.51,50%,4.62,57%,0.00,0.00,0%,20%,5.1
Hannah,Cifers,Shockwave,"5' 1""",115 lbs.,"62.0""",Orthodox,10,7,0,0,http://ufcstats.com/fighter-details/2244d9a2b64b8c3b,4.99,44%,5.39,52%,0.26,0.26,100%,64%,0.3
Branko,Cikatic,,"6' 1""",215 lbs.,--,Orthodox,0,2,0,0,http://ufcstats.com/fighter-details/4e5bbc4566049cbf,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Nikolajus,Cilkinas,,--,--,--,Orthodox,2,6,0,0,http://ufcstats.com/fighter-details/3f3550bf126a5721,0.00,0%,5.88,16%,0.00,0.00,0%,0%,0.0
Misha,Cirkunov,,"6' 3""",205 lbs.,"77.0""",Orthodox,15,8,0,0,http://ufcstats.com/fighter-details/67f272324a030d00,3.87,51%,3.00,57%,4.25,4.25,43%,76%,1.8
Johnny,Cisneros,The Tattooed Terror,"5' 11""",170 lbs.,--,,9,6,0,0,http://ufcstats.com/fighter-details/42611508ba8c3298,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Laverne,Clark,,"5' 11""",170 lbs.,--,Orthodox,27,21,1,0,http://ufcstats.com/fighter-details/1c2f2571b18791b6,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Logan,Clark,,"6' 2""",185 lbs.,--,Orthodox,18,6,0,0,http://ufcstats.com/fighter-details/6776260cb0aef647,2.20,54%,1.49,53%,0.31,0.31,100%,30%,2.1
Mychal,Clark,,"6' 3""",224 lbs.,--,Orthodox,10,14,0,0,http://ufcstats.com/fighter-details/69108cb8b32efe04,5.80,56%,2.90,59%,0.00,0.00,0%,0%,0.0
Dominic,Clark,,"5' 10""",155 lbs.,--,,10,7,0,0,http://ufcstats.com/fighter-details/8a64b3f87ad29d1e,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Heather,Clark,Hurricane,"5' 6""",115 lbs.,"64.0""",Orthodox,7,6,0,0,http://ufcstats.com/fighter-details/dd4c16777fb2ccf9,3.69,49%,5.62,50%,0.33,0.33,4%,80%,0.3
Devin,Clark,Brown Bear,"6' 0""",205 lbs.,"75.0""",Orthodox,13,6,0,0,http://ufcstats.com/fighter-details/cc7040fe76f0ef91,3.08,57%,2.54,46%,2.48,2.48,35%,53%,0.1
Jessica-Rose,Clark,,"5' 5""",135 lbs.,"64.0""",Orthodox,11,8,0,0,http://ufcstats.com/fighter-details/6c8072b61c276e67,4.02,52%,3.59,59%,1.76,1.76,52%,63%,0.3
John,Clarke,,--,170 lbs.,--,,1,1,0,0,http://ufcstats.com/fighter-details/a77c71a574132188,0.00,0%,0.00,0%,0.00,0.00,0%,0%,0.0
Mitch,Clarke,Danger Zone,"5' 10""",155 lbs.,"73.0""",Orthodox,11,5,0,0,http://ufcstats.com/fighter-details/c76ec2bc3a57666a,2.35,34%,3.27,47%,0.64,0.64,15%,50%,0.4
Rich,Clementi,No Love,"5' 9""",155 lbs.,"72.0""",Southpaw,45,23,1,0,http://ufcstats.com/fighter-details/7d21de9c6d7c98b2,1.43,37%,2.29,60%,1.72,1.72,42%,25%,1.1
Chris,Clements,The Menace,"5' 10""",170 lbs.,"70.0""",Orthodox,12,6,0,0,http://ufcstats.com/fighter-details/e5ecaf884b6da2bc,3.20,49%,2.37,44%,0.00,0.00,0%,32%,0.3
