Fighter,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str Acc. (pct),SApM,Str Def. (pct),TD Avg.,TD Acc. (pct),TD Def. (pct),Sub. Avg.,Link
Marcus Bossett,The Grasshopper,6.08,215.0,,Orthodox,1,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/e8fb8e53bc2e29d6
Chris Bostick,,,,,,6,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/239224bedeb2c7a4
Poliana Botelho,,5.67,125.0,67.0,Orthodox,8,5,0,0,2.9,0.58,2.8,0.54,0.85,0.57,0.76,0.0,http://ufcstats.com/fighter-details/5c126c6aac3ef364
Francois Botha,White Buffalo,6.17,260.0,,Orthodox,0,1,0,0,0.0,0.0,1.05,0.77,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/545d549d6bf87187
Gregory Bouchelaghem,,6.17,183.0,,Switch,5,4,0,0,0.27,0.21,1.53,0.36,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/59851163aaf1aed8
Roy Boughton,Black Dynamite,6.0,205.0,,,14,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/2aaf0181432adf0b
Rich Bouphanouvong,,5.58,170.0,,,1,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/611b9c068c9e2c44
Mike Bourke,The Rhino,6.0,275.0,,Orthodox,10,16,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/dfdd0c5dd0d4bc23
Jess Bouscal,,,155.0,,,3,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/38b1417ec17072da
Tai Bowden,,5.92,230.0,,,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/2efbc83a6b9b7f86
Melton Bowen,The Punisher,6.0,225.0,,Orthodox,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/81ca2c245b19b3c5
Kyron Bowen,Bullseye,6.25,185.0,73.0,Orthodox,9,5,0,0,2.73,0.57,2.05,0.4,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/5488b3c67600333a
Brian Bowles,,5.58,135.0,70.0,Orthodox,10,3,0,0,2.36,0.26,2.98,0.64,1.39,0.7,0.54,1.4,http://ufcstats.com/fighter-details/b26d3e3746fb4024
Roger Bowling,Relentless,5.75,155.0,68.0,Orthodox,12,6,0,0,3.9,0.47,3.86,0.51,3.09,0.43,0.27,0.9,http://ufcstats.com/fighter-details/3b9f723e2720a238
Blake Bowman,,6.17,170.0,,,2,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/a95a0504fd73bd3e
Ashe Bowman,The Archer,5.75,155.0,,,9,11,0,0,2.43,0.42,4.86,0.57,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/8a0a35e7c74bebcc
Anvar Boynazarov,The Uzbek,,145.0,,,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/4a191f4ea2fce7fc
Colley Bradford,,5.58,145.0,,,0,1,0,0,0.43,0.25,1.73,0.5,19.42,0.5,1.0,0.0,http://ufcstats.com/fighter-details/1433786ac76cf777
Kyle Bradley,,5.75,155.0,71.0,Orthodox,19,12,0,0,1.99,0.4,3.45,0.58,0.65,0.5,0.4,0.0,http://ufcstats.com/fighter-details/a6959da32f0e6b5d
Paul Bradley,The Gentleman,5.75,170.0,,Orthodox,23,8,0,0,2.26,0.32,4.13,0.56,1.12,0.16,1.0,0.0,http://ufcstats.com/fighter-details/c7011de4765d2497
Sean Brady,,5.83,170.0,72.0,Orthodox,15,0,0,0,3.91,0.54,3.22,0.62,3.22,0.6,0.87,0.9,http://ufcstats.com/fighter-details/45f7cb591c3ab00b
Ebenezer Fontes Braga,Pitbull,6.0,199.0,,Orthodox,13,7,2,0,2.42,0.5,0.42,0.71,0.0,0.0,0.9,0.6,http://ufcstats.com/fighter-details/dc950d59dc590aca
Ramiz Brahimaj,,5.83,170.0,72.0,Orthodox,10,4,0,0,2.47,0.41,4.08,0.5,1.9,0.66,0.58,2.4,http://ufcstats.com/fighter-details/3d074044a33825e7
Joe Brammer,The South Side Strangler,5.67,155.0,,Orthodox,7,3,1,0,2.15,0.31,2.8,0.56,0.81,0.5,0.5,0.0,http://ufcstats.com/fighter-details/013da757877044a2
David Branch,,6.08,185.0,78.0,Orthodox,22,6,0,0,1.66,0.39,1.91,0.56,2.55,0.32,0.43,0.0,http://ufcstats.com/fighter-details/d2c55d1d2e67773b
Diego Brandao,DB,5.58,145.0,64.0,Orthodox,22,11,0,0,2.94,0.47,3.38,0.62,3.21,0.68,0.8,0.6,http://ufcstats.com/fighter-details/c2e3e67b5911bfb7
Bruna Brasil,,5.5,115.0,,,7,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/7138a15258dabf20
Michael Bravo,,,155.0,,,7,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/dc63542668295c23
Martin Bravo,El Toro,5.67,145.0,71.0,Southpaw,11,3,0,0,7.66,0.39,5.72,0.51,2.6,0.35,0.85,0.0,http://ufcstats.com/fighter-details/9c44f290f5726d95
Mike Breeden,Money,5.83,155.0,70.0,Orthodox,10,5,0,0,5.43,0.42,6.38,0.41,1.44,0.37,0.59,0.0,http://ufcstats.com/fighter-details/d80ee110748171ac
Tom Breese,,6.25,185.0,73.0,Southpaw,12,3,0,0,3.34,0.5,2.81,0.6,0.0,0.0,0.7,1.1,http://ufcstats.com/fighter-details/1588b787bda7b540
Chris Brennan,The Westside Strangler,5.67,170.0,,Orthodox,21,13,1,0,0.6,0.4,0.97,0.5,0.0,0.0,0.25,2.1,http://ufcstats.com/fighter-details/b19fc66613dc75b9
Charlie Brenneman,The Spaniard,5.83,155.0,70.0,Orthodox,19,8,0,0,1.52,0.56,1.55,0.46,4.23,0.42,0.72,0.0,http://ufcstats.com/fighter-details/98f6da59d765ec94
Robert Breslin,The Bullet,5.92,155.0,,,3,9,0,0,2.21,0.46,3.5,0.66,1.38,1.0,0.5,0.0,http://ufcstats.com/fighter-details/e319d6697d41f3cf
Mack Brewer,,,205.0,,,0,1,0,0,0.0,0.0,6.67,0.36,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/106a925d947a0de9
Marcos Brigagao,Ironside,6.25,205.0,76.0,Southpaw,11,1,0,0,3.07,0.43,3.27,0.25,0.0,0.0,0.36,0.0,http://ufcstats.com/fighter-details/11547e29f253fb89
Jason Brilz,Hitman,5.92,205.0,71.0,Orthodox,22,6,1,0,2.66,0.4,1.78,0.65,2.37,0.25,0.25,1.3,http://ufcstats.com/fighter-details/497ba5b12a4bfc47
Marcus Brimage,The Bama Beast,5.33,135.0,71.0,Southpaw,7,7,0,0,3.97,0.35,3.64,0.56,0.56,1.0,0.8,0.0,http://ufcstats.com/fighter-details/81801f57bd0a7c41
Aaron Brink,,6.25,205.0,,Orthodox,26,26,0,0,3.49,0.42,5.71,0.57,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/cf1a88371c8cb690
Henry Briones,Bure,5.67,135.0,69.0,Orthodox,16,8,1,0,3.47,0.42,4.68,0.53,0.0,0.0,0.52,0.6,http://ufcstats.com/fighter-details/01fcef7e3d051722
Marcelo Brito,Jungle Boy,6.08,170.0,,Orthodox,13,8,0,0,0.6,0.2,3.53,0.55,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/3a97fda0de6f1fa4
Joanderson Brito,Tubarao,5.67,145.0,72.0,Orthodox,13,3,1,0,3.79,0.49,3.28,0.5,2.9,0.62,0.0,0.0,http://ufcstats.com/fighter-details/791c8437b341fba5
Antwain Britt,The Juggernaut,6.08,205.0,77.0,,11,6,0,0,1.46,0.39,2.81,0.44,1.56,0.4,0.5,0.0,http://ufcstats.com/fighter-details/2833f50b20e96e52
Drew Brokenshire,,,,,,16,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/aa571d75f80fde7d
Mike Bronzoulis,The Greek,6.0,155.0,,,18,9,1,0,1.13,0.34,2.54,0.37,0.0,0.0,0.33,0.0,http://ufcstats.com/fighter-details/df3c39573d01f55b
Jonathan Brookins,,6.0,145.0,74.0,Southpaw,16,10,0,0,2.69,0.39,3.63,0.56,1.94,0.17,0.8,0.3,http://ufcstats.com/fighter-details/b0a6124751a56bc4
Will Brooks,Ill,5.83,155.0,72.0,Orthodox,18,4,0,0,4.26,0.59,2.54,0.56,2.08,0.51,0.82,0.3,http://ufcstats.com/fighter-details/b6e6c3b1dcaae0a1
Jarred Brooks,The Monkey God,5.25,125.0,62.0,Switch,13,2,0,0,2.12,0.46,1.66,0.62,4.54,0.57,0.69,0.6,http://ufcstats.com/fighter-details/81d9df19e255b8b6
Rob Broughton,The Bear,6.17,265.0,74.0,Orthodox,16,7,1,0,2.83,0.6,2.54,0.51,0.0,0.0,0.26,3.2,http://ufcstats.com/fighter-details/a7d687e6ecb30981
Lee Brousseau,Manimal,6.08,205.0,,,5,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/0974d8d4053a7237
Matt Brown,The Immortal,6.0,170.0,75.0,Orthodox,25,19,0,0,3.77,0.55,2.94,0.54,1.71,0.46,0.64,1.3,http://ufcstats.com/fighter-details/31123249b0bbf52e
Mike Brown,,5.5,145.0,70.0,Orthodox,26,9,0,0,2.98,0.44,2.45,0.6,3.23,0.4,0.66,0.6,http://ufcstats.com/fighter-details/e0b74df14f52cd15
Dominic Brown,,5.92,190.0,,,16,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/52b3ec072ad497a4
Todd Brown,Bulldog,5.92,205.0,,Orthodox,16,4,0,0,2.15,0.45,3.85,0.48,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/9b68bf67c5695185
Terrell Brown,,,185.0,,,3,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/85df85a4e276c90e
Chris Brown,,,170.0,,,10,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/9e2624ac992660c6
Frederick Brown,,6.0,235.0,,,3,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/880c6b788266a3ef
Randy Brown,Rudeboy,6.25,170.0,78.0,Orthodox,15,4,0,0,4.42,0.48,3.32,0.55,0.76,0.35,0.71,0.6,http://ufcstats.com/fighter-details/c6aee362c7a7d482
Damien Brown,Beatdown,5.83,155.0,68.0,Orthodox,17,12,0,0,3.66,0.38,4.86,0.5,0.68,0.27,0.53,0.7,http://ufcstats.com/fighter-details/d024ed963e8bf7ea
TJ Brown,Downtown,5.75,145.0,72.0,Switch,16,9,0,0,3.68,0.43,2.88,0.5,3.86,0.61,0.41,1.6,http://ufcstats.com/fighter-details/d31cbcdd7d69536d
Humberto Brown Morrison,,5.83,145.0,,,4,6,0,0,1.71,0.5,2.19,0.62,1.43,0.25,0.0,0.0,http://ufcstats.com/fighter-details/e9e7e1c8ff289e1b
Travis Browne,Hapa,6.5,255.0,79.0,Orthodox,18,7,1,0,2.93,0.41,4.31,0.42,1.21,0.68,0.75,0.2,http://ufcstats.com/fighter-details/3236bf606fe9fa5b
Junie Browning,,5.75,155.0,,Orthodox,5,6,0,0,3.76,0.48,1.76,0.66,3.53,0.66,0.0,3.5,http://ufcstats.com/fighter-details/d74cba8566291bfa
Jules Bruchez,,6.0,205.0,,Southpaw,1,2,0,0,0.69,0.5,5.52,0.46,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/d1dcd4e96464a53d
Justin Bruckmann,Loaf,5.75,170.0,,Orthodox,7,3,0,0,0.59,0.66,5.91,0.16,0.0,0.0,0.33,0.0,http://ufcstats.com/fighter-details/5f8e00c27b7e7410
Cody Brundage,,6.0,185.0,72.0,Orthodox,8,2,0,0,2.65,0.53,2.65,0.51,1.81,0.3,0.68,1.2,http://ufcstats.com/fighter-details/f14f644d41ade29f
Steve Bruno,Hollywood,5.83,170.0,,Orthodox,15,6,0,0,0.96,0.52,3.38,0.36,1.94,0.25,0.46,0.4,http://ufcstats.com/fighter-details/2f3f12002564bb55
Fernando Bruno,Acougueiro,5.5,145.0,,,15,4,0,0,1.75,0.39,1.78,0.48,2.02,0.22,0.56,0.5,http://ufcstats.com/fighter-details/b8c0f30ee9a98b69
Derek Brunson,,6.08,185.0,77.0,Southpaw,23,8,0,0,3.5,0.47,2.84,0.52,3.23,0.33,0.89,0.6,http://ufcstats.com/fighter-details/b1a3e0aca758b322
Josh Bryant,The Beast,5.83,185.0,,Orthodox,15,4,0,0,1.1,0.2,6.1,0.43,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/01f022fa494188e2
Dennis Bryant,The Beard,6.0,205.0,,Orthodox,5,2,0,0,10.56,0.59,10.56,0.13,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/3b17353b8002c7d0
Lukasz Brzeski,The Bull,6.33,236.0,78.0,Orthodox,9,1,1,0,5.78,0.53,3.1,0.51,2.17,0.66,1.0,2.2,http://ufcstats.com/fighter-details/0c25d0a5e8cdbf19
Justin Buchholz,,6.0,155.0,73.0,Orthodox,15,10,0,0,2.35,0.26,4.14,0.51,0.0,0.0,0.33,0.8,http://ufcstats.com/fighter-details/231926533134ec1f
Zak Bucia,,5.83,170.0,,,17,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/6bbb8dc6e128779e
Courtney Buck,,5.83,135.0,,Orthodox,12,11,0,0,1.49,0.28,3.24,0.54,0.0,0.0,0.33,0.0,http://ufcstats.com/fighter-details/3feed7d02711d8b7
Joaquin Buckley,New Mansa,5.83,185.0,76.0,Southpaw,15,4,0,0,3.74,0.34,3.42,0.54,1.68,0.35,0.64,0.0,http://ufcstats.com/fighter-details/b9437600497350f3
Martin Buday,Badys,6.33,265.0,77.0,Orthodox,10,1,0,0,4.77,0.72,2.17,0.5,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/8eb046f83e82bf26
Julia Budd,,5.58,145.0,67.0,,10,2,0,0,2.42,0.74,1.18,0.47,3.6,0.57,0.83,0.0,http://ufcstats.com/fighter-details/dcdc4503b9d49977
Mike Budnik,,5.75,145.0,68.0,Orthodox,13,4,0,0,0.65,0.52,0.95,0.53,0.0,0.0,0.0,3.4,http://ufcstats.com/fighter-details/b98209144b63ae26
Francisco Bueno,,5.75,225.0,,Orthodox,5,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/a72d260b436924c4
Mayra Bueno Silva,Sheetara,5.5,135.0,66.0,Orthodox,8,2,1,0,4.25,0.54,4.98,0.59,0.0,0.0,0.69,1.3,http://ufcstats.com/fighter-details/cc8c623cca88f54f
Paul Buentello,The Headhunter,6.17,245.0,77.0,Orthodox,35,17,0,0,3.29,0.45,3.83,0.52,0.19,0.33,0.39,0.4,http://ufcstats.com/fighter-details/f0abbb6f3444dae7
Modestas Bukauskas,The Baltic Gladiator,6.25,205.0,78.0,Switch,11,5,0,0,3.59,0.37,4.54,0.52,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/476fe566d2df676e
Lee Kwan Bum,,6.17,286.0,,Orthodox,0,1,0,0,0.71,0.14,0.0,1.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/c0342805a1948cbb
Josh Bumgarner,,6.08,170.0,,,6,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/9900ab86a4c458bd
Shawn Bunch,Bunch the Great,5.42,135.0,,,7,3,0,0,0.0,0.0,1.55,0.55,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/6e9af164ab91a229
Shane Burgos,Hurricane,5.92,145.0,75.0,Orthodox,15,3,0,0,7.4,0.52,6.78,0.56,0.43,0.44,0.91,0.4,http://ufcstats.com/fighter-details/98d961097baaf308
Joshua Burkman,The People's Warrior,5.83,170.0,72.0,Orthodox,28,16,0,0,2.69,0.43,3.13,0.51,2.53,0.36,0.72,0.3,http://ufcstats.com/fighter-details/6da99156486ed6c2
Justin Burlinson,,6.08,170.0,74.0,Switch,6,1,0,0,1.24,0.4,3.09,0.61,0.0,0.0,1.0,9.3,http://ufcstats.com/fighter-details/dadd80ef954e54ed
Mads Burnell,,5.67,145.0,69.0,Orthodox,9,3,0,0,1.28,0.41,2.71,0.51,3.45,0.47,0.22,0.4,http://ufcstats.com/fighter-details/69f01b25dfabaf6b
Mikey Burnett,The Eastside Assassin,5.5,170.0,,Orthodox,5,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/4c805f5f58a75df0
Kevin Burns,The Fire,5.83,170.0,74.0,Orthodox,12,7,0,0,2.74,0.38,4.3,0.52,0.28,0.5,0.47,0.8,http://ufcstats.com/fighter-details/a6d8bfe9e0c8153b
Gilbert Burns,Durinho,5.83,170.0,71.0,Orthodox,20,5,0,0,3.46,0.48,3.21,0.54,2.0,0.34,0.47,0.6,http://ufcstats.com/fighter-details/23024fdfc966410a
Josh Burns,The Hammer,6.08,244.0,,,8,10,0,0,2.4,0.48,5.73,0.32,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/1e092415a7eeaf65
Herbert Burns,The Blaze,5.75,145.0,73.0,Orthodox,11,4,0,0,1.61,0.51,4.74,0.3,3.92,0.75,0.6,3.3,http://ufcstats.com/fighter-details/4f140403000158b5
Derrick Burnsed,,,155.0,,,1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/2213330f082f82d5
Nah-Shon Burrell,The Rock n Rolla,5.92,170.0,,Orthodox,15,7,0,0,4.83,0.47,3.45,0.56,0.0,0.0,0.52,0.3,http://ufcstats.com/fighter-details/2c64c035485906aa
Martin Buschkamp,,5.75,145.0,,Orthodox,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/8fc30d8cebb17116
George Bush,,6.08,205.0,,,5,2,0,0,6.35,0.64,2.31,0.55,17.31,0.66,0.0,0.0,http://ufcstats.com/fighter-details/f0c779dc2ca3816c
Bubba Bush,The Fightin' Texas Aggie,6.0,185.0,,Orthodox,8,3,0,0,0.63,0.55,7.01,0.25,2.82,0.5,0.6,0.0,http://ufcstats.com/fighter-details/132505067f08c54d
Dakota Bush,,5.83,155.0,73.0,Orthodox,8,4,0,0,2.77,0.38,4.42,0.41,2.4,0.33,0.0,0.0,http://ufcstats.com/fighter-details/3033c1c080672475
Murilo Bustamante,,6.17,183.0,,Orthodox,15,8,1,0,1.33,0.32,1.9,0.6,2.46,0.33,0.54,1.2,http://ufcstats.com/fighter-details/85d905f7c4f5a1af
Nick Bustamante,,5.75,170.0,,,5,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/51b1ca2a4b064101
Eduardo Bustillos,,5.67,135.0,,,5,3,0,0,2.61,0.59,6.22,0.35,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/f273f1b8df04c8a1
Jason Butcher,,6.25,185.0,,,10,2,0,0,1.82,0.4,2.73,0.25,13.64,0.5,0.0,0.0,http://ufcstats.com/fighter-details/30e39145fec48d25
Todd Butler,,6.08,200.0,,Southpaw,1,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/3fed746acfd026dd
Goldman Butler,,,,,,1,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/e2d5072048b825b1
Ian Butler,,5.67,155.0,,,3,3,0,0,2.09,0.14,6.69,0.36,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/6b8fd98eb52363d1
Raphael Butler,The Silencer,6.25,261.0,,,9,2,1,0,4.69,0.45,0.94,0.91,0.0,0.0,1.0,14.1,http://ufcstats.com/fighter-details/f941505e35fb1eae
JP Buys,Young Savage,5.42,125.0,67.0,Orthodox,9,5,0,0,1.89,0.44,3.02,0.39,1.65,0.26,0.25,2.5,http://ufcstats.com/fighter-details/0b362247806341e5
Dennis Buzukja,The Great,5.75,145.0,71.0,Switch,4,2,0,0,3.8,0.46,6.8,0.35,2.0,0.25,1.0,1.0,http://ufcstats.com/fighter-details/c4d039123e62f6a9
Charles Byrd,Kid Dynamite,5.83,185.0,73.0,Orthodox,10,7,0,0,3.43,0.55,2.63,0.55,2.5,0.5,0.4,1.5,http://ufcstats.com/fighter-details/76ee3d666c648f6b
Steve Byrnes,The Sergeant,6.0,170.0,,Orthodox,6,1,0,0,1.2,0.51,2.67,0.27,3.0,0.6,0.0,4.0,http://ufcstats.com/fighter-details/43612456979e5d5e
Michael Byrnes,,5.92,155.0,,,5,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/87f0b37f153cf497
Yan Cabral,,5.92,155.0,73.0,Orthodox,13,3,0,0,2.02,0.47,1.98,0.62,2.89,0.35,0.37,1.2,http://ufcstats.com/fighter-details/7cdd3e5d3aa9cb39
Alvin Cacdac,,5.5,125.0,,Orthodox,18,13,0,0,1.21,0.66,0.61,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/ce7871949b0ed2bf
Alex Caceres,Bruce Leeroy,5.83,145.0,73.0,Southpaw,19,13,0,0,4.15,0.51,2.92,0.64,0.58,0.7,0.64,0.8,http://ufcstats.com/fighter-details/7aa3d6964eff4877
Vince Cachero,The Anomaly,5.5,145.0,68.0,Orthodox,7,4,0,0,3.29,0.45,6.51,0.43,0.0,0.0,0.18,0.5,http://ufcstats.com/fighter-details/ed2a8cc402173781
Priscila Cachoeira,Zombie Girl,5.58,125.0,65.0,Orthodox,11,4,0,0,4.46,0.43,7.91,0.45,0.21,0.33,0.65,0.0,http://ufcstats.com/fighter-details/b1e5bcaad32a3cac
Travis Calanoc,The Dark Knight,5.67,145.0,,Orthodox,5,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/90d28fee0af74f2d
Ricky Calatayud,,5.75,125.0,,,16,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/800feaa25700a85f
Darrion Caldwell,The Wolf,5.83,135.0,,,10,1,0,0,0.85,0.34,0.57,0.6,3.41,0.66,1.0,0.8,http://ufcstats.com/fighter-details/b7dc25ee40ee8334
Taylor Callens,,5.83,155.0,,,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/53d471e9bf5f2fc8
Cynthia Calvillo,,5.33,125.0,64.0,Orthodox,9,4,1,0,4.27,0.4,4.1,0.64,1.75,0.43,0.73,1.0,http://ufcstats.com/fighter-details/98215d037be5bcb7
Joe Camacho,,5.75,155.0,,Orthodox,13,19,3,0,0.31,0.17,5.0,0.42,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/dfb965c9824425db
Frank Camacho,The Crank,5.83,155.0,73.0,Orthodox,22,10,0,0,6.56,0.46,7.44,0.51,1.11,0.31,0.73,0.0,http://ufcstats.com/fighter-details/764342d39cdaa54a
Fabricio Camoes,Morango,5.83,155.0,71.0,Orthodox,14,9,1,0,1.29,0.33,1.85,0.61,2.34,0.32,0.2,1.5,http://ufcstats.com/fighter-details/7abe471b61725980
Chris Camozzi,,6.17,185.0,75.0,Orthodox,24,13,0,0,3.57,0.44,2.96,0.56,0.27,0.19,0.57,0.5,http://ufcstats.com/fighter-details/6c2030e0a143a94b
Brian Camozzi,Mantis,6.17,170.0,78.0,Orthodox,7,5,0,0,3.15,0.26,6.39,0.54,0.0,0.0,0.0,0.7,http://ufcstats.com/fighter-details/1999ffb5cebc314f
Ricky Camp,2 Slick,5.58,135.0,,,11,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/4a99978a0366bb29
Mike Campbell,The Beast,5.75,155.0,,Southpaw,13,4,0,0,1.4,0.26,1.4,0.63,5.26,1.0,0.0,0.0,http://ufcstats.com/fighter-details/f5585e675af7afd4
Thomas Campbell,,,,,,3,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/d060014a5a039829
Shane Campbell,Shaolin,6.0,155.0,71.0,Orthodox,14,6,0,0,3.99,0.59,3.19,0.55,1.36,0.28,0.82,0.0,http://ufcstats.com/fighter-details/784285b7ae7dd85f
Charlie Campbell,The Cannibal,,155.0,,,6,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/b39f7a6c2be17ee8
John Campetella,,5.75,235.0,,Orthodox,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/31bbd46d57dfbcb7
Wagner Campos,Galeto,5.5,145.0,,Southpaw,12,10,0,0,1.54,0.41,2.53,0.51,2.71,1.0,0.0,0.0,http://ufcstats.com/fighter-details/db6d5f691aea3fd3
Derek Campos,The Stallion,5.75,155.0,,,19,6,0,0,2.41,0.23,10.34,0.44,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/aa8dc72b3a1f761c
Will Campuzano,,5.75,125.0,70.0,Orthodox,14,6,0,0,2.43,0.31,3.82,0.57,0.88,0.45,0.48,0.2,http://ufcstats.com/fighter-details/901cddcbfa079097
Aleksa Camur,,6.08,205.0,74.0,Orthodox,6,2,0,0,4.78,0.59,3.15,0.6,0.59,0.25,0.5,0.0,http://ufcstats.com/fighter-details/c2a670b22d2e196f
Chico Camus,The King,5.5,125.0,66.0,Orthodox,17,7,0,0,2.58,0.41,2.46,0.64,0.77,0.4,0.72,0.4,http://ufcstats.com/fighter-details/32be4b7f7de1c905
Asbel Cancio,,5.83,225.0,,,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/2a7afe14b3a0a058
Carlos Candelario,The Cannon,5.67,125.0,68.0,Southpaw,8,2,0,0,3.11,0.46,4.04,0.42,2.33,0.33,0.53,0.3,http://ufcstats.com/fighter-details/760a55d5b6098cbe
Ronaldo Candido,Pacman,5.5,125.0,,Southpaw,6,0,0,0,1.67,0.42,3.87,0.52,8.0,0.53,0.0,5.0,http://ufcstats.com/fighter-details/23fbe02caabcd214
Luiz Cane,Banha,6.17,185.0,77.0,Southpaw,17,7,0,0,4.79,0.41,5.0,0.6,0.56,0.28,1.0,0.3,http://ufcstats.com/fighter-details/24b033b3daf1c9df
Guido Cannetti,Ninja,5.5,135.0,68.0,Southpaw,9,7,0,0,3.52,0.55,2.94,0.51,1.98,0.5,0.7,0.2,http://ufcstats.com/fighter-details/d05412b513b19621
Jared Cannonier,The Killa Gorilla,5.92,185.0,77.0,Switch,15,6,0,0,3.73,0.51,3.5,0.61,0.19,0.25,0.65,0.0,http://ufcstats.com/fighter-details/13a0275fa13c4d26
