Fighter,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str Acc. (pct),SApM,Str Def. (pct),TD Avg.,TD Acc. (pct),TD Def. (pct),Sub. Avg.,Link
Razak Al-Hassan,,6.17,205.0,,Orthodox,13,5,0,0,3.27,0.39,3.14,0.6,0.65,0.14,0.57,0.0,http://ufcstats.com/fighter-details/38b50fd1e1b5b656
Mostapha Al-Turk,,6.17,245.0,77.0,Orthodox,6,6,0,0,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1cf1310684a841f5
Herdem Alacabek,,6.17,205.0,75.0,Orthodox,5,1,0,0,3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0,http://ufcstats.com/fighter-details/7578cc6bd750206b
Javi Alanis,,5.5,135.0,,,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/2144954270be834d
,The Mongolian Knight,5.42,135.0,66.0,Orthodox,15,8,2,0,2.86,0.33,5.07,0.58,1.73,0.33,0.72,0.0,http://ufcstats.com/fighter-details/1897b7b913736a7c
Amir Albazi,The Prince,5.42,125.0,68.0,Orthodox,14,1,0,0,4.06,0.4,3.15,0.58,2.28,0.75,0.66,0.8,http://ufcstats.com/fighter-details/6d35bf94f7d30241
Brett Albee,,,225.0,,,3,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/9b28292abe3166d5
John Albert,Prince,5.67,135.0,68.0,Orthodox,6,5,0,0,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1,http://ufcstats.com/fighter-details/7bd94b60d7521e4a
Junior Albini,Baby,6.25,264.0,74.0,Orthodox,14,6,0,0,3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0,http://ufcstats.com/fighter-details/c482c8605455a213
Wes Albritton,,5.83,188.0,,Orthodox,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/184b955181bdef52
Aleksandra Albu,Stitch,5.17,115.0,63.0,Orthodox,3,2,0,0,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,http://ufcstats.com/fighter-details/e76d9f656ceb82ab
Israel Albuquerque,,,185.0,,Orthodox,0,3,0,0,0.32,0.13,3.34,0.25,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/dd1b90eea08887f6
Juan Alcain,,,,,,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/39f62b833e4cf126
